time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.83533, 109.70081,-452.99567,   0.80200, 118.68541,-453.39955,   0.64225, 135.05080,-454.00312,   0.59245, 141.49939,-454.32316,   5.66128, 131.71935,-453.86443,  10.95716, 131.00433,-453.65341,  17.32247, 107.57974,-455.28196,  20.68240,  86.72870,-448.15032,  -4.28563, 131.60365,-454.37692,  -9.53963, 130.63626,-454.62617, -15.36032, 107.27138,-458.10431, -19.16443,  86.60748,-450.65830,   7.31661,  91.80575,-451.97935,   9.65509,  52.79540,-451.74046,  11.95046,  12.50864,-458.91759,  11.92328,   5.01778,-449.85946,  -5.61930,  91.78253,-452.25589,  -7.31705,  52.79632,-450.12812,  -6.62340,  12.50860,-457.62619,  -7.77330,   5.01778,-448.64126
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.83288, 109.70172,-452.97681,   0.79727, 118.68664,-453.37320,   0.63035, 135.05202,-453.97524,   0.57877, 141.49881,-454.32939,   5.65086, 131.72257,-453.84202,  10.94801, 131.01929,-453.62367,  17.29490, 107.59627,-455.34411,  20.61256,  86.73880,-448.21147,  -4.29653, 131.60293,-454.34423,  -9.55344, 130.64666,-454.57444, -15.36426, 107.29045,-458.12652, -19.14454,  86.60567,-450.72651,   7.31712,  91.80607,-451.99013,   9.65709,  52.79572,-451.76808,  11.96147,  12.49245,-458.84900,  11.93157,   5.00159,-449.79087,  -5.61912,  91.78195,-452.25037,  -7.29212,  52.79422,-450.13094,  -6.61017,  12.49249,-457.55444,  -7.75715,   5.00165,-448.56915
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82182, 109.70267,-452.95638,   0.78230, 118.68796,-453.34396,   0.61717, 135.05357,-453.94029,   0.57314, 141.49840,-454.32936,   5.63733, 131.72336,-453.81234,  10.93639, 131.03701,-453.58667,  17.26359, 107.61654,-455.41128,  20.53674,  86.74462,-448.30040,  -4.31049, 131.60529,-454.30640,  -9.57027, 130.66067,-454.51837, -15.35455, 107.30778,-458.13501, -19.10935,  86.59081,-450.81247,   7.31879,  91.80998,-452.00029,   9.65342,  52.79915,-451.80687,  11.95665,  12.47661,-458.77758,  11.92587,   4.98576,-449.71945,  -5.61771,  91.77778,-452.24590,  -7.26223,  52.78941,-450.11582,  -6.60575,  12.47662,-457.48135,  -7.74879,   4.98577,-448.49557
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.81557, 109.70346,-452.93912,   0.77457, 118.68916,-453.31669,   0.61427, 135.05549,-453.89416,   0.57346, 141.49898,-454.30533,   5.63345, 131.72353,-453.77392,  10.93299, 131.04425,-453.53846,  17.24626, 107.63030,-455.49053,  20.48780,  86.73714,-448.42770,  -4.31479, 131.60922,-454.26038,  -9.57680, 130.67449,-454.46036, -15.33551, 107.32449,-458.13596, -19.04189,  86.56862,-450.89941,   7.31986,  91.81180,-452.01377,   9.65518,  52.80128,-451.77281,  11.95089,  12.47082,-458.70003,  11.92019,   4.97995,-449.64191,  -5.61704,  91.77574,-452.23723,  -7.22743,  52.78864,-450.05838,  -6.60638,  12.47078,-457.39915,  -7.74108,   4.97988,-448.41236
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.80161, 109.70322,-452.94345,   0.75778, 118.68926,-453.31273,   0.61027, 135.05754,-453.83569,   0.56832, 141.50082,-454.25005,   5.62683, 131.72132,-453.72530,  10.92659, 131.04801,-453.47767,  17.21381, 107.64229,-455.60460,  20.40736,  86.71470,-448.62230,  -4.32136, 131.61633,-454.21464,  -9.58587, 130.69381,-454.40542, -15.31782, 107.35589,-458.19774, -18.98183,  86.57191,-451.02052,   7.32202,  91.81697,-452.02721,   9.65379,  52.80653,-451.74339,  11.94719,  12.46029,-458.57890,  11.91427,   4.96943,-449.52078,  -5.61531,  91.77063,-452.22259,  -7.17305,  52.78553,-449.97097,  -6.59248,  12.46022,-457.27407,  -7.72185,   4.96940,-448.28654
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79467, 109.70437,-452.91737,   0.75026, 118.69171,-453.25351,   0.61267, 135.06364,-453.64958,   0.56756, 141.51002,-454.01203,   5.62722, 131.72359,-453.56616,  10.92760, 131.05649,-453.31520,  17.18482, 107.66760,-455.70020,  20.29099,  86.69007,-448.82925,  -4.32115, 131.62848,-454.05408,  -9.58851, 130.72145,-454.24047, -15.27921, 107.40871,-458.24393, -18.86931,  86.59259,-451.12277,   7.32321,  91.81875,-452.04782,   9.66317,  52.80980,-451.64980,  11.94596,  12.44406,-458.37282,  11.91315,   4.95320,-449.31470,  -5.61457,  91.76853,-452.20924,  -7.11078,  52.78705,-449.85560,  -6.57426,  12.44410,-457.06405,  -7.69437,   4.95332,-448.07533
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.78788, 109.70726,-452.84776,   0.74087, 118.69688,-453.11544,   0.60139, 135.07274,-453.28228,   0.55267, 141.52472,-453.52474,   5.61632, 131.73242,-453.24602,  10.91716, 131.06784,-452.99798,  17.13928, 107.70797,-455.73337,  20.11420,  86.66138,-449.01724,  -4.33207, 131.64301,-453.73444,  -9.60175, 130.75059,-453.92567, -15.26189, 107.48702,-458.24588, -18.70877,  86.61875,-451.20704,   7.32411,  91.82090,-452.05450,   9.63198,  52.81089,-451.58011,  11.91628,  12.40445,-458.05349,  11.88353,   4.91359,-448.99537,  -5.61357,  91.76557,-452.22196,  -7.07380,  52.78939,-449.76054,  -6.58743,  12.40417,-456.73199,  -7.70065,   4.91336,-447.74243
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.78994, 109.71035,-452.76442,   0.74567, 118.70243,-452.93086,   0.61356, 135.07781,-452.71793,   0.56088, 141.53431,-452.71934,   5.62699, 131.73531,-452.75968,  10.92766, 131.06522,-452.52334,  17.11953, 107.76024,-455.75131,  19.94709,  86.63864,-449.20926,  -4.32150, 131.66170,-453.24896,  -9.59315, 130.78529,-453.45900, -15.23850, 107.59458,-458.17240, -18.52841,  86.64255,-451.30945,   7.32378,  91.81930,-452.06253,   9.61074,  52.81071,-451.40494,  11.89014,  12.35620,-457.57256,  11.85708,   4.86533,-448.51444,  -5.61382,  91.76632,-452.23715,  -7.04805,  52.79940,-449.61876,  -6.58994,  12.35619,-456.24752,  -7.70585,   4.86537,-447.25831
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.78887, 109.71425,-452.63490,   0.74697, 118.70785,-452.65815,   0.62585, 135.06863,-451.93277,   0.56475, 141.51213,-451.52433,   5.63703, 131.72582,-452.08168,  10.93676, 131.03913,-451.87324,  17.11956, 107.81967,-455.68250,  19.79598,  86.60604,-449.37899,  -4.31174, 131.67402,-452.56791,  -9.58362, 130.80820,-452.81309, -15.23335, 107.71736,-457.98891, -18.37171,  86.64160,-451.44107,   7.32391,  91.81851,-452.07927,   9.60375,  52.81270,-451.25373,  11.88122,  12.28518,-456.92263,  11.84878,   4.79432,-447.86450,  -5.61365,  91.76602,-452.25651,  -7.02044,  52.80937,-449.47552,  -6.59883,  12.28518,-455.59238,  -7.70805,   4.79434,-446.60235
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.78691, 109.71759,-452.47568,   0.74611, 118.70978,-452.31438,   0.62950, 135.02665,-450.91367,   0.55435, 141.40832,-449.93494,   5.63976, 131.69173,-451.20368,  10.93884, 130.98560,-451.05143,  17.13531, 107.89171,-455.54107,  19.67568,  86.56689,-449.56493,  -4.30932, 131.66228,-451.68541,  -9.57878, 130.80323,-451.99749, -15.25967, 107.85695,-457.74998, -18.27639,  86.64444,-451.59859,   7.32415,  91.81797,-452.09941,   9.58252,  52.81500,-451.09910,  11.85561,  12.19779,-456.08688,  11.82317,   4.70693,-447.02876,  -5.61335,  91.76562,-452.28073,  -7.01390,  52.82159,-449.32531,  -6.61068,  12.19787,-454.74324,  -7.72656,   4.70695,-445.75411
   0.33333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79100, 109.71943,-452.29915,   0.75170, 118.70490,-451.91600,   0.62872, 134.92777,-449.67558,   0.54057, 141.16678,-448.01539,   5.64028, 131.61483,-450.14176,  10.93983, 130.90010,-450.06447,  17.16287, 107.99546,-455.40599,  19.58853,  86.55158,-449.82106,  -4.30923, 131.60511,-450.61529,  -9.57521, 130.75318,-450.99771, -15.29763, 108.04349,-457.58704, -18.19531,  86.69594,-451.86022,   7.32352,  91.81504,-452.11876,   9.54751,  52.81855,-450.83044,  11.80132,  12.11635,-455.07946,  11.77244,   4.62549,-446.02133,  -5.61385,  91.76804,-452.31057,  -7.00013,  52.84067,-449.13699,  -6.65007,  12.11637,-453.74259,  -7.77400,   4.62550,-444.75442
   0.36667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79908, 109.71920,-452.10878,   0.76214, 118.68996,-451.46752,   0.62978, 134.74265,-448.22567,   0.52437, 140.74342,-445.84474,   5.64322, 131.47002,-448.90673,  10.94343, 130.75604,-448.89574,  17.23059, 108.15021,-455.32449,  19.50630,  86.57472,-450.20252,  -4.30727, 131.47966,-449.35922,  -9.56894, 130.63127,-449.80369, -15.36416, 108.27548,-457.45414, -18.11262,  86.78985,-452.18873,   7.32231,  91.81055,-452.13894,   9.51712,  52.82829,-450.43622,  11.73171,  12.05698,-453.98570,  11.70627,   4.57837,-444.91744,  -5.61490,  91.77260,-452.34344,  -6.98391,  52.86663,-448.91047,  -6.70771,  12.05236,-452.64160,  -7.83247,   4.56150,-443.65352
   0.40000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79903, 109.71631,-451.90194,   0.75727, 118.65937,-450.94958,   0.59140, 134.41088,-446.46865,   0.45928, 140.06757,-443.35842,   5.61162, 131.21403,-447.41002,  10.91134, 130.49990,-447.48056,  17.36144, 108.37206,-455.26747,  19.43312,  86.67095,-450.61071,  -4.33965, 131.23326,-447.84490,  -9.59293, 130.38330,-448.37692, -15.53183, 108.54453,-457.30402, -18.06501,  86.92513,-452.49821,   7.32232,  91.80963,-452.16770,   9.47562,  52.85426,-449.89290,  11.65505,  12.03170,-452.82072,  11.62807,   4.58270,-443.72813,  -5.61489,  91.77433,-452.37232,  -6.96394,  52.90072,-448.58334,  -6.75997,  12.01556,-451.44094,  -7.88794,   4.52472,-442.45326
