time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.88155, 109.49190,  -0.88372,   1.38127, 118.45231,  -0.29330,   1.95791, 134.77809,  -1.45610,   2.62461, 141.10143,  -2.57868,   4.83195, 131.58368,   2.76813,   8.10927, 131.98713,   6.97509,  23.09446, 112.92609,   8.97548,  35.30454,  94.88668,  13.70930,  -0.75277, 131.19443,  -5.47059,  -4.51250, 130.67563,  -9.23858, -13.00686, 110.14212, -19.14393, -25.27748,  92.97743, -26.33535,   1.86966,  90.81529,   2.78795, -17.53056,  57.14598,   6.95225,  12.31784,  29.15481,   4.63475,  12.31524,  18.07445,   8.55764,  -2.11531,  92.69470,  -9.37768,  -4.38076,  54.18339,  -3.12622,  10.06852,  15.98488,   0.32273,   1.26493,   8.49410,   2.45546
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.77408, 109.51626,  -1.02577,   1.21163, 118.48294,  -0.48323,   1.65297, 134.81585,  -1.60445,   2.28751, 141.14612,  -2.70638,   4.65388, 131.62661,   2.53461,   8.12880, 132.03218,   6.57967,  23.72160, 113.39950,   7.83209,  36.72532,  95.76415,  11.93250,  -1.13547, 131.22759,  -5.56115,  -5.05991, 130.75068,  -9.16308, -14.56719, 110.31206, -18.31565, -27.68001,  93.39594, -24.54541,   1.82344,  90.88175,   2.83779, -20.11004,  58.65995,   5.66804,   6.28282,  27.30383,   5.55031,   4.32080,  16.42806,   9.55429,  -2.03915,  92.62146,  -9.38794,  -3.59147,  54.04285,  -3.33693,  10.94607,  15.87687,   0.10127,   2.13724,   8.38604,   2.21210
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.65964, 109.53651,  -1.14805,   1.02852, 118.50860,  -0.64526,   1.31703, 134.84799,  -1.72083,   1.93818, 141.18423,  -2.79578,   4.44891, 131.66823,   2.32751,   8.11163, 132.06417,   6.20434,  24.23423, 113.85268,   6.73754,  37.86399,  96.60320,  10.42545,  -1.54648, 131.25150,  -5.61597,  -5.63413, 130.79001,  -9.03366, -15.98411, 110.44794, -17.45824, -29.73419,  93.71387, -22.73244,   1.79096,  90.94133,   2.87845, -21.72927,  59.77752,   4.59546,  -0.27517,  24.87964,   5.88511,  -4.27673,  14.48976,   9.65358,  -1.97478,  92.55623,  -9.39452,  -2.69273,  53.92927,  -3.49738,  11.80790,  15.73942,  -0.17019,   2.99370,   8.24859,   1.91811
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.50513, 109.55255,  -1.23690,   0.79423, 118.52895,  -0.75953,   0.95628, 134.87307,  -1.78885,   1.57276, 141.21489,  -2.83308,   4.21737, 131.69953,   2.16115,   8.06002, 132.07491,   5.86186,  24.61748, 114.25073,   5.68782,  38.73544,  97.36337,   9.21137,  -1.99223, 131.27165,  -5.61541,  -6.22896, 130.80890,  -8.84627, -17.29745, 110.54255, -16.50517, -31.44618,  93.87884, -20.86925,   1.79676,  90.99263,   2.90243, -22.42137,  60.33638,   3.90706,  -7.26957,  22.28754,   5.49190, -13.12716,  12.74163,   9.05950,  -1.93753,  92.50047,  -9.39375,  -1.72362,  53.83812,  -3.69194,  12.69527,  15.60049,  -0.56419,   3.88188,   8.10960,   1.52725
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.34282, 109.56108,  -1.27388,   0.55440, 118.54012,  -0.80561,   0.61825, 134.88618,  -1.81471,   1.23737, 141.23176,  -2.83424,   4.00382, 131.72111,   2.03611,   8.01555, 132.08049,   5.55449,  24.89732, 114.58461,   4.67086,  39.34563,  98.01367,   8.35399,  -2.42283, 131.27751,  -5.56116,  -6.80172, 130.82579,  -8.59822, -18.38316, 110.57554, -15.50423, -32.75798,  93.91250, -19.05648,   1.86138,  91.02582,   2.89880, -22.08058,  60.14438,   3.57097, -14.15664,  19.94026,   4.37293, -21.75612,  11.62714,   7.73500,  -1.95691,  92.46490,  -9.37981,  -0.70931,  53.76971,  -4.04504,  13.70435,  15.52304,  -1.00503,   4.89294,   8.03223,   1.09506
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.21974, 109.56463,  -1.28599,   0.37219, 118.54480,  -0.81648,   0.35650, 134.89256,  -1.79957,   0.98343, 141.24171,  -2.79179,   3.86996, 131.73150,   1.93831,   8.03328, 132.07815,   5.27728,  25.10725, 114.81984,   3.69265,  39.83647,  98.58718,   7.75047,  -2.78950, 131.28078,  -5.45530,  -7.30061, 130.85466,  -8.29621, -19.21698, 110.57491, -14.51127, -33.70569,  93.86997, -17.32791,   1.95226,  91.04653,   2.87953, -20.62620,  59.15055,   3.31814, -20.54678,  18.17004,   2.69029, -29.50591,  11.20599,   5.75617,  -2.01349,  92.44321,  -9.35717,   0.34267,  53.75619,  -4.34748,  14.92651,  15.56352,  -1.44313,   6.12019,   8.07263,   0.67790
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.19714, 109.56267,  -1.26545,   0.33707, 118.54205,  -0.77736,   0.28680, 134.89332,  -1.69899,   0.91025, 141.24978,  -2.64555,   3.92578, 131.71918,   1.90534,   8.21922, 132.07151,   5.07462,  25.32599, 114.92360,   2.79676,  40.27193,  99.05462,   7.45612,  -2.98166, 131.29444,  -5.25873,  -7.62046, 130.92249,  -7.89420, -19.70702, 110.57686, -13.53919, -34.19565,  93.77515, -15.70555,   2.03841,  91.04359,   2.84877, -18.22651,  57.62705,   2.83886, -25.61680,  17.37318,   0.64501, -35.41669,  11.76341,   3.90938,  -2.09335,  92.44669,  -9.33213,   1.52409,  53.82002,  -4.61738,  16.57138,  15.79559,  -1.87431,   7.76975,   8.30469,   0.26607
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.17804, 109.54981,  -1.15132,   0.32610, 118.52601,  -0.60995,   0.32801, 134.87963,  -1.49027,   0.94573, 141.24170,  -2.40232,   4.07495, 131.67781,   1.97633,   8.47903, 132.05109,   4.98745,  25.49705, 114.92446,   1.99641,  40.50809,  99.41920,   7.57951,  -3.08209, 131.30655,  -4.94148,  -7.83701, 131.01198,  -7.37181, -20.04215, 110.61728, -12.56662, -34.36773,  93.62456, -14.28014,   2.12549,  91.00590,   2.79888, -15.32908,  56.05616,   1.70972, -28.55605,  17.36616,  -1.10705, -38.70892,  12.87315,   2.75244,  -2.17510,  92.48796,  -9.31405,   2.91134,  53.98297,  -4.97495,  18.64851,  16.23807,  -2.24224,   9.89350,   8.70088,  -0.07333
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.05782, 109.54072,  -1.06868,   0.18061, 118.51466,  -0.48516,   0.28093, 134.86919,  -1.34265,   0.89112, 141.23696,  -2.21925,   4.10339, 131.63362,   2.00825,   8.60970, 131.96377,   4.86941,  25.45866, 114.78386,   1.28554,  40.53612,  99.75566,   7.89907,  -3.25585, 131.32748,  -4.69735,  -8.09051, 131.07429,  -6.96990, -20.43790, 110.66317, -11.74731, -34.51297,  93.43786, -13.19363,   2.28993,  90.99758,   2.73170, -14.98034,  55.98152,   1.01529, -29.37584,  17.77619,  -2.57987, -39.35300,  13.69268,   2.10464,  -2.30604,  92.49881,  -9.26989,   3.64435,  54.09350,  -5.15181,  20.72790,  16.92433,  -2.62026,  12.20521,   9.12293,  -0.46028
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.27309, 109.54697,  -1.13896,  -0.25454, 118.52185,  -0.55729,  -0.00459, 134.87787,  -1.35375,   0.62303, 141.24819,  -2.19891,   3.88090, 131.58793,   1.86926,   8.49419, 131.76879,   4.56869,  25.11742, 114.44153,   0.65523,  40.20394,  99.96367,   8.38205,  -3.67726, 131.38796,  -4.61544,  -8.57928, 131.13325,  -6.73859, -20.91382, 110.66702, -11.30893, -34.73548,  93.23092, -12.67108,   2.56335,  91.08634,   2.66013, -14.10662,  55.82788,   0.15305, -28.59344,  17.73030,  -4.14918, -37.93494,  13.00970,   1.20021,  -2.48725,  92.40831,  -9.17873,   4.66494,  54.17601,  -5.37458,  22.92585,  17.55643,  -3.06179,  14.74754,   9.38963,  -0.92118
   0.33333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.74017, 109.55328,  -1.32872,  -0.85308, 118.52920,  -0.77441,  -0.29016, 134.88312,  -1.44402,   0.40766, 141.24913,  -2.26629,   3.63062, 131.48572,   1.62090,   8.33501, 131.45977,   4.16454,  24.67832, 113.89671,   0.12527,  39.67088, 100.00830,   9.02756,  -4.14027, 131.49836,  -4.61049,  -9.10468, 131.28480,  -6.58824, -21.30034, 110.72293, -11.10165, -34.68404,  92.96035, -12.61100,   2.86333,  91.25373,   2.59742, -12.53853,  55.50074,  -0.84336, -27.12546,  17.46352,  -5.33719, -35.95033,  11.93367,   0.11314,  -2.65707,  92.23917,  -9.06315,   5.64368,  54.20250,  -5.65082,  25.03161,  18.15251,  -3.57507,  17.42310,   9.44786,  -1.45296
   0.36667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.27902, 109.54363,  -1.58340,  -1.52583, 118.51914,  -1.06726,  -0.49464, 134.85640,  -1.56383,   0.31198, 141.21645,  -2.33088,   3.41712, 131.30621,   1.33495,   8.18374, 131.00859,   3.74177,  24.18349, 113.10212,  -0.16296,  39.06053,  99.90520,   9.90832,  -4.54215, 131.62712,  -4.64538,  -9.56383, 131.55375,  -6.48379, -21.43259, 110.82392, -11.09918, -34.18883,  92.63419, -12.92214,   3.17486,  91.47378,   2.52963, -12.29647,  55.71081,  -0.46708, -25.29378,  17.14757,  -5.34042, -33.55804,  10.63015,  -0.10699,  -2.81844,  92.02180,  -8.92439,   6.12770,  54.09380,  -5.96344,  26.78627,  18.72631,  -4.49129,  20.12840,   9.33873,  -2.10180
