time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.65596, 109.43621,-449.36366,   2.23933, 118.20693,-447.46074,   3.71086, 133.90226,-443.02144,   4.20515, 140.20203,-441.69561,   8.37276, 130.21510,-444.01146,  13.58032, 129.00924,-443.84053,  17.78712, 105.26464,-440.61912,  18.89205,  85.50027,-430.36903,  -1.53050, 131.23468,-444.33241,  -6.77007, 130.17285,-444.18425, -12.54287, 109.09774,-454.88051, -16.73256,  87.47826,-458.33818,   7.19517,  91.50760,-452.70367,   8.38705,  53.22526,-444.93362,   8.02547,  22.87579,-472.47599,   8.77978,  14.60403,-464.15898,  -5.72654,  92.15441,-452.54368, -11.01162,  56.45374,-437.54821, -14.28022,  55.73251,-478.39670, -15.89240,  50.95238,-489.01342
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.92344, 109.37955,-449.15408,   2.58498, 118.12570,-447.16551,   3.90832, 133.82521,-442.69446,   4.37267, 140.13527,-441.40734,   8.60338, 130.16041,-443.60783,  13.83975, 129.12585,-443.27293,  18.89473, 106.19563,-436.90638,  18.41474,  90.54328,-421.04168,  -1.29775, 131.13393,-444.09460,  -6.55212, 130.13750,-444.13091, -11.44780, 110.89206,-458.18583, -15.61126,  90.39225,-465.88870,   7.14607,  91.45638,-452.99561,   8.93949,  52.52125,-450.13699,   8.78690,  21.87531,-477.35107,   9.31713,  13.11327,-469.53384,  -5.75197,  92.22142,-452.31015,  -9.07964,  58.20761,-433.35437, -12.60353,  52.19628,-473.74309, -14.66002,  45.26510,-483.01095
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.35456, 109.24733,-448.70783,   3.13896, 117.93571,-446.52065,   4.22755, 133.61727,-441.92503,   4.63518, 139.94432,-440.70374,   8.97315, 129.99855,-442.75731,  14.23789, 129.22338,-442.22469,  20.37674, 107.16149,-434.01078,  17.99656,  96.22762,-414.73123,  -0.92297, 130.89059,-443.45601,  -6.19593, 130.03186,-443.70287, -10.02624, 112.90735,-460.55443, -13.83790,  93.45060,-470.74350,   7.05099,  91.38536,-453.41603,   9.77634,  52.43972,-455.18839,   9.74922,  20.76369,-481.19669,  10.06919,  10.88360,-474.83704,  -5.77703,  92.32928,-452.01409,  -6.77424,  59.23641,-431.24869, -10.75177,  45.30478,-469.58787, -12.56808,  35.89954,-476.40006
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.68744, 109.07681,-448.17132,   3.53976, 117.70349,-445.77528,   4.33725, 133.41112,-441.20907,   4.65294, 139.75526,-440.05086,   9.14604, 129.86049,-441.96880,  14.43352, 129.34746,-441.35124,  21.51210, 108.16418,-431.70535,  17.47493, 100.94763,-411.00419,  -0.75202, 130.60503,-442.80018,  -6.04169, 129.91015,-443.17312,  -8.69717, 114.58564,-461.88149, -12.08592,  95.98253,-473.68623,   6.97046,  91.35414,-453.72437,  10.75956,  52.84426,-459.19830,  10.75446,  19.83120,-483.48700,  10.70122,   8.70487,-479.69679,  -5.78926,  92.40802,-451.85525,  -4.89557,  59.47329,-430.83528,  -8.95811,  36.65201,-464.63599, -10.07424,  25.40841,-467.87624
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.50134, 109.05016,-447.99578,   3.21258, 117.68332,-445.57712,   3.65960, 133.47680,-441.26643,   3.85651, 139.83488,-440.15951,   8.54242, 130.00318,-441.89933,  13.84611, 129.74610,-441.26147,  21.31520, 109.08822,-430.80465,  16.82980, 103.92759,-409.58757,  -1.35477, 130.55136,-442.88026,  -6.64974, 129.92817,-443.30152,  -8.47347, 115.52982,-462.82731, -11.41396,  97.62896,-475.78200,   7.01239,  91.42290,-453.67059,  11.03548,  53.44388,-461.96161,  11.45018,  20.71933,-486.63417,  10.98556,   9.04399,-485.35591,  -5.77933,  92.34668,-451.95794,  -4.35683,  58.91271,-431.77181,  -7.37786,  28.12245,-458.65371,  -7.84163,  16.39182,-458.07008
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.92455, 109.16855,-448.23993,   2.34510, 117.86417,-445.98240,   2.41194, 133.75534,-442.02233,   2.43801, 140.13418,-441.02288,   7.37101, 130.36470,-442.49107,  12.67150, 130.23814,-441.79043,  20.04729, 109.43501,-431.55773,  15.94990, 104.61145,-410.18344,  -2.51569, 130.69718,-443.65718,  -7.78082, 129.88391,-444.12562,  -9.37076, 115.36342,-463.58128, -11.91453,  97.79220,-477.06062,   7.12681,  91.58392,-453.43520,  10.82296,  53.76637,-462.57322,  11.35911,  24.56426,-491.32652,  10.53140,  12.94989,-492.93425,  -5.73302,  92.15267,-452.12530,  -5.00789,  57.67203,-433.74343,  -5.96632,  20.94478,-451.90915,  -6.06109,  10.00802,-447.60311
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.29953, 109.39031,-449.05433,   1.40495, 118.18267,-447.16477,   1.01272, 134.14071,-443.50376,   0.81330, 140.52866,-442.58532,   6.06499, 130.87789,-443.87421,  11.35349, 130.83702,-443.07916,  18.78022, 109.44321,-434.18931,  15.24380, 102.76627,-413.21725,  -3.81811, 130.91995,-445.11505,  -9.04230, 129.87877,-445.59074, -10.58442, 114.26496,-464.18445, -12.97724,  96.17814,-476.99274,   7.22803,  91.76503,-453.23471,  10.97855,  53.64647,-460.99624,  11.20678,  32.04266,-495.82477,   9.78368,  21.28722,-500.34792,  -5.66008,  91.90977,-452.09884,  -5.55578,  56.29456,-436.00910,  -4.96381,  16.56916,-446.07612,  -4.45158,   7.46915,-438.65378
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.95631, 109.53906,-449.85007,   0.86125, 118.39859,-448.30510,   0.05263, 134.39158,-444.87197,  -0.39724, 140.77247,-443.99389,   5.18965, 131.26102,-445.21719,  10.47930, 131.29900,-444.42963,  18.09938, 109.23367,-437.57862,  15.30357,  99.08489,-417.92916,  -4.69575, 131.01888,-446.41611,  -9.88161, 129.77717,-446.82528, -11.58365, 112.40258,-463.76996, -14.14579,  92.99305,-474.42908,   7.28292,  91.84552,-453.04163,  11.52192,  53.32006,-458.05679,  11.69252,  40.99887,-497.14595,   9.54045,  32.46332,-504.93546,  -5.61932,  91.78782,-452.07018,  -5.94124,  55.74568,-436.96408,  -3.63725,  15.10149,-441.71214,  -2.93489,   6.38666,-433.85580
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.77387, 109.59409,-450.24211,   0.55354, 118.48642,-448.91350,  -0.55095, 134.53532,-445.84290,  -1.18611, 140.90447,-444.99450,   4.64832, 131.51329,-446.22170,   9.95655, 131.55404,-445.57123,  17.96845, 109.02185,-441.10013,  16.13836,  94.89899,-423.95046,  -5.25136, 131.02082,-447.20704, -10.38673, 129.55496,-447.49302, -12.57774, 110.07116,-461.89706, -15.44061,  89.12171,-468.95646,   7.31179,  91.89390,-452.93135,  12.62242,  53.19438,-454.14657,  12.65310,  50.28961,-495.02890,  10.05453,  45.13285,-505.26700,  -5.59735,  91.72411,-452.07122,  -5.93299,  56.08265,-436.04287,  -1.13261,  17.21941,-448.14277,  -2.04659,   9.12645,-439.66737
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.83449, 109.59371,-450.23776,   0.59267, 118.49451,-448.97111,  -0.72718, 134.58925,-446.24470,  -1.47158, 140.95764,-445.48398,   4.51523, 131.65131,-446.68540,   9.83773, 131.57009,-446.16921,  17.93692, 108.65717,-445.03708,  17.89927,  90.82694,-431.65811,  -5.39533, 130.96126,-447.40772, -10.42495, 129.15089,-447.57503, -13.53538, 107.52941,-458.28634, -16.58899,  85.55413,-460.44820,   7.30846,  91.85903,-452.85354,  13.94363,  53.57519,-448.65185,  13.75437,  57.93893,-489.40384,  11.41744,  55.45325,-500.65212,  -5.61091,  91.75909,-452.15023,  -4.59886,  56.19692,-435.97489,  -0.59483,  19.61001,-454.00732,  -1.65000,  11.81230,-445.27543
   0.33333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.91611, 109.60940,-450.36645,   0.67727, 118.51249,-449.11539,  -0.79602, 134.56095,-446.20120,  -1.64678, 140.91662,-445.44563,   4.47393, 131.67477,-446.65526,   9.79720, 131.54834,-446.15639,  17.26239, 108.57134,-449.02152,  19.67199,  87.50740,-442.13532,  -5.42711, 130.90632,-447.42728, -10.37090, 128.87281,-447.58947, -14.42303, 105.53382,-453.13628, -17.42538,  83.76792,-449.37564,   7.30594,  91.79101,-452.59094,  13.93105,  54.82031,-441.79247,  14.39149,  61.67353,-482.19822,  12.70043,  60.69779,-493.78924,  -5.63113,  91.82273,-452.37697,  -3.83747,  55.90175,-437.08646,  -0.41905,  21.35025,-458.86516,  -1.57946,  13.47466,-450.21691
   0.36667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.94498, 109.61279,-450.39641,   0.71333, 118.51028,-449.10491,  -0.77486, 134.50086,-445.89513,  -1.68457, 140.84193,-445.08731,   4.49788, 131.63022,-446.41105,   9.82363, 131.55608,-445.92835,  16.29109, 108.97910,-452.27915,  20.76927,  87.20452,-453.93108,  -5.40353, 130.86335,-447.17980, -10.36987, 128.87959,-447.23152, -14.88381, 104.97719,-447.67334, -17.74020,  85.25099,-437.69191,   7.30200,  91.75541,-452.39032,  12.65518,  56.97778,-435.38465,  14.52384,  61.77096,-476.04589,  13.55155,  60.40439,-487.67993,  -5.63524,  91.85740,-452.56924,  -4.38325,  54.82609,-440.14148,  -0.65106,  21.58792,-463.82898,  -1.83623,  13.62119,-455.26802
   0.40000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.71450, 109.59643,-450.26366,   0.44909, 118.47920,-448.88054,  -0.72004, 134.44312,-445.41610,  -1.57481, 140.79358,-444.62219,   4.49483, 131.50323,-446.10221,   9.83303, 131.45340,-445.78093,  15.66813, 109.88469,-455.40502,  20.93797,  89.92164,-463.80864,  -5.43290, 130.89209,-446.63498, -10.47035, 129.10677,-446.43711, -15.48814, 105.53298,-443.12149, -17.81904,  89.49228,-427.81874,   7.32726,  91.82403,-452.18373,  11.06686,  58.93880,-431.40131,  14.22690,  58.73720,-472.26421,  14.05962,  54.52794,-483.23771,  -5.59628,  91.79333,-452.81282,  -4.82697,  53.45975,-445.24455,  -1.13047,  20.38890,-469.17064,  -2.21000,  12.14743,-460.85943
   0.43333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.23122, 109.50050,-449.68116,  -0.12124, 118.33239,-448.01963,  -0.73492, 134.25660,-444.24352,  -1.41181, 140.62516,-443.42351,   4.37132, 131.19083,-445.15782,   9.71881, 131.19960,-445.07820,  15.20719, 111.29999,-457.95314,  20.16081,  93.05586,-469.76538,  -5.58174, 130.85587,-445.36149, -10.71452, 129.42423,-444.90595, -16.65810, 106.59350,-438.96231, -17.61077,  94.95581,-419.97369,   7.37141,  91.97729,-451.96764,   9.30457,  59.90189,-429.72436,  13.62010,  52.28957,-469.76473,  14.04285,  44.72668,-478.75292,  -5.50575,  91.66680,-453.19124,  -5.37175,  52.65252,-450.91043,  -1.79456,  18.87618,-473.84872,  -2.75430,   9.83487,-466.39907
   0.46667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.44225, 109.30604,-448.88060,  -0.93971, 118.05458,-446.85508,  -0.94692, 133.92620,-442.81682,  -1.39965, 140.30722,-441.94109,   4.03116, 130.72639,-443.95192,   9.37748, 130.77383,-444.08092,  14.38874, 112.89719,-459.80332,  18.95138,  96.51162,-474.21202,  -5.92868, 130.68872,-443.82044, -11.12511, 129.64241,-443.10991, -18.24117, 107.69045,-435.40480, -17.31764, 100.13408,-414.45345,   7.43009,  92.20210,-451.83940,   7.56187,  59.99270,-429.70640,  12.74594,  43.43351,-466.83754,  13.32108,  33.17691,-472.55023,  -5.37676,  91.49619,-453.54257,  -6.38994,  52.50337,-455.96493,  -2.53515,  17.68107,-477.23347,  -3.40352,   7.44775,-471.51608
