time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,1.42994,108.8868,-447.20714,1.04625,116.44165,-442.34255,-1.82265,124.0749,-428.13977,-3.18426,124.91393,-421.88427,3.63189,123.51581,-430.63857,8.899,124.42999,-430.48398,20.19778,117.48099,-450.87833,22.17596,95.36197,-452.81512,-6.13503,121.90272,-431.74415,-11.27336,120.97214,-432.89915,-16.56121,102.85011,-448.24602,-9.92086,92.42819,-429.69338,7.22918,91.63422,-452.86316,7.81595,58.99299,-431.37972,15.95576,61.3482,-471.47959,16.08156,60.19186,-483.17619,-5.69757,92.18089,-452.98515,-7.67445,55.16749,-440.59828,0.9886,24.65219,-466.55153,-0.77555,15.50034,-459.38949
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.62889,108.83783,-447.03575,0.02186,116.32311,-442.08709,-2.12262,123.83505,-427.69307,-3.22539,124.5363,-421.36998,3.20912,123.23734,-430.43603,8.4668,124.20645,-430.57636,19.27025,120.36884,-452.0342,21.05252,98.17111,-453.03398,-6.61651,121.75464,-431.12576,-11.85827,121.05598,-431.92471,-17.76244,100.85858,-444.13541,-8.54657,94.60316,-424.82613,7.32678,91.83344,-452.44522,3.7565,62.45176,-426.9246,14.49452,55.28738,-465.82408,16.17712,49.27397,-475.78256,-5.57194,91.99531,-453.45085,-8.03717,53.35176,-448.16572,0.52511,22.99284,-474.33491,-0.86951,12.78816,-468.67072
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.25639,108.70576,-446.77848,-1.10347,116.12829,-441.77093,-2.64526,123.88945,-427.43206,-3.43174,124.64667,-421.06831,2.58822,123.12311,-430.31858,7.83413,124.11178,-430.64262,17.54449,122.43798,-452.88645,19.55026,100.237,-452.79312,-7.28626,121.87253,-430.70309,-12.5811,121.40354,-431.2923,-18.95694,100.0075,-440.95943,-7.84255,96.51081,-421.95536,7.416,92.1116,-452.1675,0.50047,64.44722,-425.44316,12.82397,46.92399,-460.38413,14.76949,36.92294,-466.24565,-5.41446,91.75396,-453.80026,-8.21389,52.82606,-455.82898,-0.78669,21.32233,-480.97166,-1.25413,10.00361,-477.83614
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.6924,108.55137,-446.47747,-1.60993,115.94408,-441.43832,-2.68442,124.20101,-427.33567,-3.12141,125.23973,-420.97805,2.47135,123.21548,-430.2946,7.7155,124.18091,-430.70566,16.18314,124.01699,-453.51253,18.72672,101.89879,-452.40318,-7.43545,122.19162,-430.4496,-12.76223,121.94481,-430.85825,-19.47869,99.98403,-438.88999,-6.99629,98.0934,-420.5181,7.45401,92.25578,-452.07773,-0.7557,65.24856,-425.04917,10.85592,37.62247,-453.00936,11.96827,25.96029,-453.9685,-5.33097,91.6528,-453.9739,-7.62682,53.56124,-462.40572,-2.43248,20.69572,-486.33644,-1.69918,8.96645,-486.11253
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.64919,108.456,-446.23043,-1.47383,115.85519,-441.18473,-2.1731,124.61019,-427.36168,-2.28939,126.15287,-421.09304,2.9183,123.41181,-430.35334,8.17214,124.3178,-430.77583,15.4876,125.16913,-453.9629,18.85113,103.2694,-451.51257,-7.00933,122.59998,-430.34101,-12.35241,122.55818,-430.56949,-19.43097,100.39234,-437.67337,-5.99558,99.23011,-419.92371,7.43765,92.19934,-452.02675,0.16743,64.43694,-425.49893,8.83215,29.00773,-444.19374,8.35116,17.86394,-440.48589,-5.32665,91.73582,-454.09372,-6.64042,55.07221,-467.56174,-2.95809,22.07406,-491.59018,-1.68242,10.54513,-493.4928
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.39283,108.4797,-446.22918,-1.06156,115.94167,-441.25335,-1.48968,125.11156,-427.69069,-1.36554,127.26678,-421.60556,3.56065,123.68377,-430.65111,8.83594,124.4943,-430.99228,15.35325,125.69337,-454.40099,19.67515,104.21982,-450.26295,-6.38584,123.15239,-430.60545,-11.73161,123.27274,-430.70913,-19.22034,101.09881,-437.35228,-5.17946,99.85974,-420.08296,7.39433,92.05442,-451.96012,1.91635,62.24183,-427.29164,7.04642,22.37558,-435.3021,4.86835,13.4269,-427.99863,-5.35477,91.87414,-454.1607,-6.79273,56.36594,-470.42213,-2.3494,26.01764,-497.60743,-1.27067,14.76792,-500.83908
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.17274,108.59419,-446.47047,-0.73638,116.17485,-441.66391,-1.05264,125.80864,-428.42359,-0.80103,128.61611,-422.61463,3.98561,124.15993,-431.28827,9.27778,124.89249,-431.52975,15.43853,125.34567,-455.06102,20.65156,104.61151,-448.74955,-5.97091,123.86969,-431.31454,-11.31525,124.05674,-431.38924,-19.33952,102.1781,-438.37721,-5.30726,99.96738,-421.19816,7.33789,91.90197,-451.78397,3.01157,60.15538,-429.40609,5.01291,19.21979,-429.13199,2.84859,12.77664,-419.54214,-5.35966,91.99468,-454.26962,-7.56374,57.01331,-471.55485,-1.44345,32.81079,-504.05997,-0.77201,21.72237,-507.90183
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.14476,108.68458,-446.65616,-0.30266,116.39019,-442.03982,-0.67797,126.64668,-429.27739,-0.3689,130.02572,-423.78414,4.3833,124.68659,-431.89467,9.70361,125.21269,-432.03451,16.26551,124.00752,-455.43044,21.78825,104.31432,-446.56519,-5.57143,124.74797,-432.23636,-10.90934,124.93995,-432.50539,-19.21149,103.51668,-440.50622,-6.15105,99.31683,-422.93644,7.23218,91.66767,-451.50037,3.19021,59.28689,-429.99502,3.54951,18.37047,-427.64543,2.57699,11.32648,-418.28595,-5.34242,92.20379,-454.50147,-7.35103,57.14728,-471.65782,0.06521,40.99769,-508.5901,0.04341,30.78604,-514.4112
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.26379,108.71253,-446.71659,-0.15949,116.53196,-442.29342,-0.77879,127.58899,-430.228,-0.53695,131.31709,-424.96188,4.32426,125.229,-432.39545,9.67018,125.36724,-432.33155,17.57955,121.60221,-455.02841,22.49138,103.23002,-443.39864,-5.57565,125.73827,-433.36989,-10.88298,125.89364,-434.01068,-18.89264,105.00614,-443.57377,-8.06042,97.87985,-425.44121,7.12407,91.49993,-451.18158,2.98531,58.47996,-430.6905,3.00687,17.69929,-434.78192,2.16596,10.23444,-425.74132,-5.26749,92.36375,-454.80342,-8.65208,56.55603,-470.09021,0.0797,49.13179,-509.44043,0.61164,41.48647,-518.35276
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.06515,109.03641,-447.70552,-0.40813,117.11973,-443.79103,-1.03122,128.87821,-432.40833,-1.01257,132.9826,-427.42407,4.03563,126.12154,-434.15086,9.35914,125.65373,-433.94252,19.42518,118.03225,-454.7384,22.35942,101.77904,-439.76714,-5.7526,127.11157,-435.70895,-10.97564,127.10244,-436.85883,-18.24575,106.97007,-448.42294,-11.10356,96.01508,-430.37056,7.10882,91.61182,-450.87467,1.50799,59.40475,-429.45814,3.14326,21.7589,-445.58013,2.52659,13.97596,-436.79327,-5.19688,92.1616,-454.83475,-10.57227,54.99783,-465.66498,-0.80686,56.31206,-505.4483,0.46806,51.3977,-516.04958
0.33333,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.53269,109.21787,-448.53205,-1.22392,117.41872,-444.90501,-1.83344,129.15217,-433.49578,-1.81529,133.35375,-428.59317,3.21786,126.33353,-435.18343,8.47526,125.35648,-435.09822,21.12116,111.6615,-450.73182,20.40297,99.06694,-432.35312,-6.53623,127.4576,-436.86012,-11.71194,127.12147,-438.16456,-16.91828,108.4678,-452.88969,-14.24185,92.87696,-437.18385,7.19607,91.93777,-450.75419,2.7392,57.43257,-432.95365,3.38354,22.63117,-454.59275,2.7698,14.69092,-445.94756,-5.11753,91.78508,-454.7249,-11.63136,53.30573,-456.7848,-1.60998,58.80497,-496.14383,-0.5323,55.06522,-507.23511
0.36667,0.0,0.0,0.0,0.84703,93.984,-452.225,-0.32941,109.38251,-449.20605,-1.03533,117.6779,-445.80379,-2.07572,129.29658,-434.30858,-2.18746,133.56953,-429.4693,3.06645,126.62863,-435.9665,8.32668,125.67798,-435.79816,20.6516,106.54918,-444.40432,16.162,99.36788,-423.78424,-6.69701,127.50399,-437.73449,-11.84108,127.18688,-439.16293,-15.98248,110.51564,-456.39122,-16.0845,91.73595,-444.38189,7.16789,91.91978,-450.66093,2.61284,55.03727,-438.56694,4.09505,22.42078,-463.34133,3.31153,14.27919,-454.89952,-5.146,91.7572,-454.63035,-12.4644,54.1921,-446.71589,-2.66616,58.28571,-486.30175,-1.56121,54.31333,-497.30915
