time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.0,93.9241,-3.0,0.95557,109.62067,-3.56282,1.49517,118.59561,-3.77847,2.46676,134.94406,-3.78427,2.23302,141.39495,-3.92785,7.16963,131.2752,-4.63924,12.48276,130.71827,-4.88946,16.26465,106.78636,-7.0898,19.5541,85.10904,-3.06625,-2.69738,131.86233,-3.40861,-7.84099,131.80416,-1.94492,-15.22223,108.70788,0.04867,-18.67542,88.7147,9.28227,6.31387,91.33189,-3.27589,6.82442,55.74063,12.85898,6.57239,24.28121,-13.40972,8.71993,12.93988,-11.19033,-6.58015,92.14222,-2.56727,-1.66165,53.80323,3.20021,2.98317,14.79396,-8.48333,1.5945,7.30313,0.4678
0.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.73624,109.63057,-3.61393,1.19499,118.60998,-3.83065,2.18701,134.95697,-3.74221,1.97525,141.40973,-3.8211,6.88653,131.2871,-4.6112,12.20166,130.7441,-4.84929,16.06192,106.76846,-6.31485,19.14083,85.46646,-0.51305,-2.98152,131.87965,-3.39154,-8.11899,131.84142,-1.90579,-15.26844,108.72627,0.63787,-18.19325,88.98073,10.56109,6.35253,91.42161,-3.20869,6.42963,56.47409,14.28408,6.50737,21.96656,-7.82988,9.05379,11.17696,-3.92297,-6.55769,92.04974,-2.62024,-1.84801,53.55519,2.20909,2.89781,14.63026,-9.71274,1.49989,7.13942,-0.76306
0.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.57268,109.63796,-3.5991,0.97135,118.62094,-3.78404,1.9811,134.96554,-3.55895,1.79265,141.41949,-3.57142,6.67957,131.29755,-4.44149,11.99587,130.75833,-4.66123,15.96538,106.76859,-5.44629,18.81835,85.97272,2.05754,-3.19201,131.89132,-3.25131,-8.32552,131.86768,-1.75164,-15.19702,108.71069,1.15207,-17.53004,89.20847,11.69396,6.38164,91.49116,-3.12688,6.2501,56.93143,15.11977,6.6391,19.54069,-1.6607,9.06419,9.54582,4.03008,-6.54123,91.97814,-2.70617,-1.90751,53.37022,1.20422,2.78463,14.47056,-10.82091,1.3619,6.97969,-1.87517
0.1,0.0,0.0,0.0,0.0,93.9241,-3.0,0.47621,109.64376,-3.52702,0.83877,118.62913,-3.66445,1.85442,134.97156,-3.33407,1.69033,141.42605,-3.2908,6.55559,131.30691,-4.21603,11.87306,130.77028,-4.41241,15.94505,106.78539,-4.57056,18.53275,86.5604,4.43881,-3.32146,131.8979,-3.07072,-8.45722,131.8743,-1.57877,-15.03907,108.6604,1.53405,-16.7383,89.37818,12.58935,6.39837,91.53319,-3.07053,6.22606,56.95743,15.14539,6.59286,17.29036,4.84045,8.81657,8.33665,12.12397,-6.53108,91.93449,-2.78261,-2.00974,53.22294,0.09959,2.6919,14.3346,-11.95839,1.24589,6.84376,-3.01637
0.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.48374,109.64638,-3.43383,0.84479,118.6324,-3.52423,1.83622,134.97492,-3.13024,1.69379,141.42949,-3.04437,6.5468,131.31985,-4.00179,11.86741,130.80451,-4.16787,16.03193,106.83828,-3.77066,18.36413,87.17009,6.45863,-3.33666,131.89328,-2.9038,-8.47875,131.87277,-1.43376,-14.75443,108.58283,1.74267,-15.84129,89.47442,13.17064,6.39812,91.53179,-3.03983,6.33441,56.51068,14.30519,6.55079,15.6337,11.33383,8.22022,7.95409,20.07455,-6.53292,91.93516,-2.83927,-2.04478,53.15162,-1.09925,2.76674,14.28229,-13.17517,1.20826,6.79548,-4.24867
0.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.63507,109.64281,-3.362,1.04375,118.62706,-3.42007,1.97948,134.97202,-2.99257,1.85781,141.42652,-2.87517,6.70653,131.33392,-3.84565,12.03261,130.86764,-3.9783,16.26349,106.92553,-3.10885,18.36578,87.73735,8.04057,-3.18439,131.87308,-2.79868,-8.33746,131.85797,-1.36757,-14.27903,108.47757,1.78676,-14.87234,89.46679,13.41213,6.37543,91.47165,-3.00107,6.42345,55.65958,12.64585,6.47757,14.93631,17.27355,7.38365,8.59506,27.12906,-6.5524,91.9963,-2.89805,-1.90845,53.19626,-2.32846,3.09962,14.38152,-14.49968,1.28996,6.88632,-5.62778
0.2,0.0,0.0,0.0,0.0,93.9241,-3.0,0.86945,109.63174,-3.35561,1.35101,118.61238,-3.41273,2.19876,134.96206,-2.9824,2.0831,141.41601,-2.83274,6.95087,131.34834,-3.7991,12.28329,130.9489,-3.88745,16.5646,107.0317,-2.65494,18.45656,88.19414,9.11291,-2.95028,131.83643,-2.82642,-8.11746,131.8267,-1.44707,-13.73116,108.35093,1.59754,-13.98382,89.34807,13.24823,6.33835,91.37881,-2.91395,6.41316,55.01097,11.39364,6.39999,15.33314,21.66362,6.42839,10.55733,32.40394,-6.58064,92.09222,-2.98695,-1.96219,53.28496,-2.96324,3.03951,14.77286,-16.06301,1.23412,7.13911,-7.30915
0.23333,0.0,0.0,0.0,0.0,93.9241,-3.0,1.05053,109.62151,-3.31614,1.58329,118.59932,-3.36375,2.33235,134.95433,-2.95348,2.21459,141.40783,-2.78676,7.11522,131.36632,-3.70108,12.45154,131.01305,-3.73248,16.76764,107.11668,-2.24394,18.48449,88.47502,9.85797,-2.80043,131.79964,-2.85891,-7.98714,131.76193,-1.55539,-13.31461,108.2086,1.40335,-13.42201,89.10303,12.88711,6.30735,91.30782,-2.81811,6.26694,54.99207,11.6213,6.16287,16.04686,24.39091,5.63706,12.58733,35.61226,-6.60009,92.16606,-3.09379,-2.15542,53.34172,-3.59349,2.84474,15.21971,-17.78905,1.02746,7.41516,-9.18963
0.26667,0.0,0.0,0.0,0.0,93.9241,-3.0,1.1135,109.61832,-3.2525,1.65196,118.59587,-3.28235,2.29753,134.956,-2.90131,2.16433,141.40909,-2.73055,7.11339,131.39464,-3.55913,12.45069,131.05874,-3.50938,16.76197,107.16914,-1.90287,18.384,88.54226,10.23483,-2.81742,131.77111,-2.88509,-8.02095,131.66758,-1.65418,-13.16647,108.06092,1.19969,-13.31497,88.744,12.3238,6.29337,91.28398,-2.71031,5.9378,54.80572,11.30906,5.54342,16.34015,25.45286,4.9499,13.42087,36.8234,-6.60366,92.19079,-3.21932,-2.45662,53.34323,-4.22065,2.50477,15.70312,-19.66118,0.70472,7.69433,-11.24794
0.3,0.0,0.0,0.0,0.0,93.9241,-3.0,1.06013,109.62295,-3.18543,1.56464,118.60251,-3.19504,2.13231,134.96618,-2.84277,1.98979,141.41944,-2.68675,6.975,131.42429,-3.40128,12.31102,131.09476,-3.25877,16.60916,107.2016,-1.67017,18.17498,88.40166,10.20527,-2.96825,131.75905,-2.91452,-8.18759,131.58811,-1.7605,-13.22269,107.94223,0.96262,-13.63995,88.3015,11.49727,6.29744,91.30574,-2.61658,5.61811,54.71095,11.08351,4.87531,16.09795,24.80529,4.35201,12.73264,36.05538,-6.59287,92.16774,-3.33175,-2.82377,53.30419,-4.99077,2.07206,16.20942,-21.71836,0.26333,7.94658,-13.5564
0.33333,0.0,0.0,0.0,0.0,93.9241,-3.0,0.81421,109.63847,-3.08795,1.22028,118.62302,-3.07245,1.75526,134.98922,-2.79469,1.58973,141.44268,-2.67346,6.61204,131.45293,-3.25832,11.94383,131.1076,-3.02425,16.20549,107.20282,-1.51407,17.75674,88.04156,9.7711,-3.33821,131.77294,-2.9309,-8.57014,131.53884,-1.84711,-13.58988,107.86409,0.64366,-14.47069,87.84491,10.40929,6.33472,91.40276,-2.58194,5.10732,55.58757,13.00966,3.57194,16.04897,23.69352,3.48726,11.27295,34.43344,-6.56161,92.06639,-3.39355,-3.1875,53.2108,-5.88197,1.526,16.6888,-23.87446,-0.3083,8.11745,-16.04306
0.36667,0.0,0.0,0.0,0.0,93.9241,-3.0,0.48813,109.65223,-2.99217,0.76289,118.64169,-2.95668,1.25314,135.01068,-2.77855,1.0793,141.46469,-2.71007,6.12381,131.48418,-3.16452,11.45018,131.11119,-2.8599,15.68459,107.19478,-1.46145,17.29595,87.52105,8.89535,-3.83028,131.78029,-2.95145,-9.07263,131.49046,-1.93348,-14.17106,107.79626,0.18462,-15.7031,87.37485,8.98973,6.38277,91.53225,-2.55294,4.70601,55.82011,13.23198,2.73967,16.00089,22.73809,2.64925,9.83503,32.74497,-6.5188,91.93307,-3.44925,-3.49215,53.11098,-6.76871,1.01197,17.19192,-25.98685,-0.94842,8.21027,-18.66221
0.4,0.0,0.0,0.0,0.0,93.9241,-3.0,0.05344,109.65961,-2.94291,0.16801,118.65255,-2.91271,0.68238,135.02174,-2.87943,0.50934,141.47611,-2.8607,5.55035,131.48464,-3.1962,10.87172,131.07829,-2.84986,15.07097,107.15089,-1.53585,16.85497,86.88536,7.57685,-4.40461,131.79748,-3.0618,-9.65152,131.47431,-2.07792,-14.86771,107.76341,-0.50314,-17.12519,86.93848,7.12162,6.44578,91.70807,-2.55075,4.24532,55.84685,12.82661,1.93599,15.72251,20.85823,1.83448,8.75302,30.32288,-6.46067,91.75519,-3.46516,-3.82123,52.97773,-7.54879,0.41109,17.70197,-27.98188,-1.6881,8.21278,-21.37036
0.43333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.25282,109.65714,-2.85976,-0.24702,118.65078,-2.81914,0.30436,135.01854,-2.91102,0.14424,141.47325,-2.9272,5.16355,131.46808,-3.21277,10.48584,131.06663,-2.87493,14.61692,107.12296,-1.64378,16.69424,86.28664,6.00134,-4.79032,131.80457,-3.05668,-10.03866,131.50431,-2.07317,-15.39808,107.78816,-1.22693,-18.34228,86.60215,5.04964,6.49033,91.83199,-2.60092,3.8292,55.74528,12.16392,1.34571,15.346,18.60854,1.21512,7.85514,27.66578,-6.41988,91.63196,-3.43816,-4.07329,52.8786,-7.91079,-0.19227,18.38502,-29.70376,-2.39622,8.35638,-23.98252
0.46667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.45731,109.65171,-2.78716,-0.53064,118.64496,-2.73066,0.01055,135.01252,-2.89273,-0.14382,141.46728,-2.93156,4.86832,131.46343,-3.23132,10.19675,131.10653,-2.94405,14.25694,107.14132,-1.91235,16.68904,85.86992,4.29471,-5.08357,131.79535,-2.97244,-10.32738,131.55753,-1.94857,-15.84612,107.86284,-1.97368,-19.40793,86.3975,2.87027,6.52067,91.91565,-2.6719,3.47519,55.75617,11.83842,0.7776,15.04277,15.70429,0.58491,7.55191,24.76042,-6.39323,91.54981,-3.38742,-4.29743,52.78389,-7.87571,-0.77848,19.12572,-30.99601,-3.08844,8.525,-26.47357
0.5,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.57088,109.6483,-2.81082,-0.69962,118.64102,-2.77176,-0.22563,135.01011,-2.98261,-0.39614,141.46441,-3.02911,4.6432,131.47954,-3.35421,9.97736,131.17214,-3.12121,14.02567,107.19083,-2.49798,16.78931,85.64681,2.51531,-5.30729,131.77241,-3.00901,-10.54375,131.57888,-1.93921,-16.26872,107.94752,-2.76339,-20.3388,86.30065,0.66564,6.53656,91.9637,-2.69863,3.22464,55.5604,11.12753,0.19931,14.71891,12.74726,-0.01165,7.22805,21.80298,-6.37748,91.50271,-3.35408,-4.63635,52.68901,-7.57298,-1.21954,19.93789,-31.97569,-3.72353,8.86914,-28.91359
0.53333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.65003,109.64604,-2.89826,-0.82097,118.63814,-2.90301,-0.4129,135.00812,-3.17361,-0.61789,141.4613,-3.2347,4.46858,131.49559,-3.55026,9.80618,131.22662,-3.35098,13.91673,107.24783,-3.39319,16.95009,85.56095,0.77739,-5.48169,131.75022,-3.17018,-10.71666,131.56452,-2.09171,-16.66257,108.01376,-3.47128,-21.17841,86.28712,-1.35673,6.54565,91.99823,-2.67435,3.14672,55.28558,10.28563,-0.35105,14.45254,9.80441,-0.57183,6.96168,18.85989,-6.36451,91.46882,-3.354,-5.38058,52.52816,-6.51485,-1.55983,20.83644,-32.22166,-4.15847,9.45578,-30.8464
0.56667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.70456,109.64381,-3.08033,-0.90369,118.63498,-3.16056,-0.53156,135.00521,-3.46544,-0.77062,141.45694,-3.55064,4.36086,131.50328,-3.79602,9.69718,131.23362,-3.56568,13.97011,107.30278,-4.53384,17.20684,85.5498,-0.89417,-5.59263,131.73547,-3.49403,-10.83678,131.52242,-2.4664,-16.92716,108.02695,-4.12927,-21.81314,86.30295,-3.07757,6.54895,92.02499,-2.5934,3.04453,55.04654,9.55754,-0.82424,14.32266,7.02749,-1.05322,6.83179,16.08277,-6.35261,91.44267,-3.38421,-6.53508,52.38348,-4.68033,-1.96792,21.96595,-31.76756,-4.38542,10.47324,-32.25426
0.6,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.72361,109.64025,-3.30216,-0.93393,118.63013,-3.46034,-0.57454,135.00134,-3.72525,-0.82936,141.45237,-3.81757,4.32573,131.50506,-3.99362,9.65749,131.21289,-3.69531,14.16127,107.38587,-5.6625,17.52554,85.59937,-2.35414,-5.63129,131.72655,-3.83274,-10.89161,131.48108,-2.8993,-17.05425,108.01777,-4.74053,-22.21211,86.33431,-4.3732,6.54977,92.03924,-2.54345,2.92314,54.86599,8.96003,-1.2023,14.32247,4.60039,-1.45619,6.83162,13.65501,-6.34813,91.42942,-3.37235,-7.81198,52.4032,-1.9077,-2.49979,23.27752,-30.24986,-4.50496,11.94298,-32.63123
0.63333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.74175,109.63339,-3.52946,-0.95599,118.62178,-3.75322,-0.57269,134.99394,-3.89901,-0.83349,141.44514,-3.95676,4.32726,131.4932,-4.10846,9.65172,131.17435,-3.72051,14.44267,107.48545,-6.50678,17.87197,85.66975,-3.4686,-5.63079,131.72658,-4.11475,-10.9072,131.46168,-3.28302,-17.09469,108.02545,-5.36959,-22.37595,86.36919,-5.21025,6.55038,92.05431,-2.49306,2.89364,54.7441,8.54816,-1.56444,14.45321,2.50059,-1.82559,6.96234,11.55499,-6.34368,91.41626,-3.3594,-8.90534,52.7061,1.36244,-3.09799,24.53788,-27.83737,-4.71372,13.56577,-31.7317
0.66667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.77382,109.62674,-3.66372,-0.99682,118.61446,-3.90529,-0.59009,134.98666,-3.86497,-0.84287,141.43841,-3.85227,4.30741,131.4813,-4.05339,9.62448,131.14462,-3.58703,14.73229,107.57845,-6.81608,18.22612,85.72854,-4.11611,-5.64949,131.72926,-4.17861,-10.93863,131.45894,-3.434,-17.10804,108.04876,-5.84171,-22.38141,86.39322,-5.46766,6.55411,92.07213,-2.47613,2.91276,54.57002,7.90002,-1.83144,14.5115,0.64669,-2.0863,7.02065,9.70129,-6.33848,91.40029,-3.33891,-9.40452,53.15176,4.07616,-3.32269,25.43293,-25.49546,-5.3993,14.5341,-29.37706
0.7,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.72367,109.6214,-3.82659,-0.92376,118.60885,-4.09673,-0.49432,134.97891,-3.86758,-0.73517,141.43029,-3.76313,4.39936,131.4687,-4.06451,9.70973,131.11583,-3.53767,15.09302,107.61424,-6.78977,18.71101,85.74582,-4.42377,-5.55618,131.73276,-4.25061,-10.85297,131.44974,-3.56767,-16.98867,108.06672,-6.30319,-22.15668,86.4048,-5.32153,6.55078,92.05477,-2.49649,2.9507,54.35338,7.14597,-1.94978,14.49335,-1.03733,-2.19813,7.0025,8.01744,-6.34912,91.41914,-3.27317,-9.36805,53.7164,6.56164,-3.19768,25.78277,-22.7887,-6.27357,14.80315,-25.64356
0.73333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.61602,109.61923,-3.94638,-0.77175,118.60697,-4.23524,-0.32634,134.97374,-3.85245,-0.5578,141.42317,-3.65144,4.56422,131.46049,-4.07159,9.87021,131.10216,-3.50572,15.44229,107.60383,-6.44873,19.25437,85.73553,-4.40895,-5.39062,131.7365,-4.27665,-10.6929,131.44271,-3.64261,-16.78873,108.0844,-6.66345,-21.75687,86.43603,-4.77232,6.54194,92.00956,-2.55489,3.02444,54.10583,6.29198,-2.07072,14.41189,-2.553,-2.30154,6.92103,6.50224,-6.37028,91.46496,-3.18139,-9.01174,54.31657,8.66573,-3.36256,25.21259,-19.63353,-7.34541,14.24282,-21.03523
0.76667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.50074,109.61798,-4.03135,-0.61012,118.60611,-4.32927,-0.15664,134.969,-3.81352,-0.38814,141.41516,-3.52598,4.73196,131.4555,-4.06934,10.03633,131.10618,-3.48301,15.73558,107.58439,-5.95774,19.77784,85.74614,-4.04292,-5.22307,131.73758,-4.25587,-10.52829,131.43996,-3.6487,-16.57234,108.09928,-6.90104,-21.29606,86.51943,-3.91651,6.53185,91.95782,-2.64031,3.16067,53.84572,5.32429,-2.10144,14.25515,-3.87897,-2.30445,6.76428,5.17693,-6.39231,91.51704,-3.07229,-8.45497,54.94264,10.54362,-3.93032,23.88622,-15.81599,-8.4392,13.03529,-15.51459
0.8,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.38536,109.61866,-4.06988,-0.44928,118.60747,-4.36036,0.00666,134.96589,-3.72004,-0.22302,141.40783,-3.34869,4.89445,131.4541,-4.0124,10.19947,131.1174,-3.42468,16.00713,107.57839,-5.4414,20.20293,85.79169,-3.28497,-5.06091,131.73832,-4.17721,-10.36717,131.43316,-3.58308,-16.32265,108.09059,-6.98186,-20.83694,86.64414,-2.90976,6.51958,91.90521,-2.71747,3.20158,53.62272,4.40813,-2.14035,14.11314,-5.09237,-2.34058,6.62227,3.96359,-6.41219,91.56946,-2.9844,-7.74228,55.50468,12.01215,-4.56448,22.04871,-11.4485,-9.36219,11.53012,-9.32604
0.83333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.29572,109.61914,-4.0911,-0.32752,118.60866,-4.36441,0.11265,134.96144,-3.58423,-0.12541,141.39782,-3.13074,5.00303,131.45812,-3.92985,10.30977,131.12643,-3.35484,16.22704,107.58561,-4.9969,20.46244,85.87632,-2.22497,-4.95331,131.73195,-4.04578,-10.25829,131.41894,-3.4444,-16.15659,108.06213,-6.84513,-20.49383,86.77368,-1.85502,6.50917,91.86309,-2.79132,3.26351,53.43255,3.52465,-2.14247,13.98527,-6.19599,-2.33318,6.49442,2.86018,-6.42676,91.61145,-2.90463,-7.04154,55.93928,13.04695,-5.26999,20.01352,-6.60003,-9.99249,9.99792,-2.65676
0.86667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.25345,109.62363,-4.03575,-0.26645,118.6144,-4.26612,0.18439,134.96071,-3.36562,-0.06568,141.39201,-2.85087,5.07139,131.45843,-3.76549,10.38039,131.11998,-3.21598,16.41813,107.59212,-4.58207,20.54765,86.00582,-0.85458,-4.88535,131.73649,-3.82246,-10.18836,131.42243,-3.20441,-16.09381,108.04382,-6.43884,-20.25628,86.90347,-0.72304,6.50391,91.83997,-2.87259,3.27794,53.28997,2.67929,-2.13584,13.88006,-7.18745,-2.32738,6.38919,1.8687,-6.43328,91.63332,-2.83878,-6.4307,56.15239,13.54529,-5.89404,17.97227,-1.34745,-10.30097,8.70881,4.39109
0.9,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.24847,109.62904,-3.9515,-0.25499,118.62094,-4.13254,0.21779,134.96113,-3.13721,-0.04989,141.38741,-2.57111,5.09805,131.45744,-3.60175,10.40963,131.09915,-3.09103,16.56513,107.59136,-4.2633,20.47071,86.19935,0.64018,-4.85856,131.74379,-3.56839,-10.15717,131.43662,-2.91045,-16.13743,108.04244,-5.88441,-20.10546,87.01364,0.35701,6.50251,91.83193,-2.97145,3.22999,53.18345,1.81578,-2.11746,13.80643,-8.21709,-2.30073,6.31557,0.83923,-6.43327,91.63985,-2.7634,-5.96429,56.13948,13.57178,-6.35385,16.22081,4.29003,-10.33592,7.89827,11.57303
0.93333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.31399,109.63519,-3.82185,-0.33914,118.62813,-3.93815,0.16601,134.96197,-2.85812,-0.11395,141.38508,-2.26277,5.03614,131.45491,-3.39754,10.35178,131.08159,-2.94292,16.57548,107.58379,-3.94277,20.13818,86.44933,2.18565,-4.91906,131.75329,-3.24921,-10.21104,131.47026,-2.52991,-16.3066,108.06798,-5.18934,-20.08984,87.09162,1.33679,6.50895,91.85369,-3.08753,3.19409,53.12969,1.01072,-2.12006,13.80575,-9.24554,-2.27955,6.3149,-0.18876,-6.42145,91.61638,-2.68345,-5.7814,55.78163,12.89843,-6.50096,14.90046,10.06732,-10.03063,7.5276,18.51398
0.96667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.45133,109.63746,-3.70631,-0.5237,118.63068,-3.76828,0.00806,134.95975,-2.63043,-0.28073,141.38009,-2.00992,4.8676,131.45179,-3.25298,10.18926,131.08183,-2.87202,16.42173,107.57939,-3.69213,19.58916,86.7591,3.61528,-5.08428,131.7559,-2.96201,-10.36716,131.51676,-2.16418,-16.59211,108.11629,-4.52285,-20.21844,87.15687,2.14524,6.52245,91.90617,-3.21516,3.20047,53.12236,0.26515,-2.12482,13.8974,-10.35778,-2.27405,6.40654,-1.30082,-6.39668,91.56326,-2.58802,-5.88338,55.20593,11.73729,-6.31748,14.41067,15.65664,-9.15565,7.80207,24.95368
1.0,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.59615,109.63697,-3.60218,-0.71815,118.62986,-3.6156,-0.15605,134.95437,-2.42809,-0.45641,141.37336,-1.79905,4.68885,131.44648,-3.15622,10.0172,131.08476,-2.87352,16.17225,107.55496,-3.46061,18.98593,87.06967,4.86715,-5.2555,131.75412,-2.67414,-10.52355,131.54289,-1.77663,-16.90295,108.16204,-3.90612,-20.41829,87.19967,2.81194,6.53328,91.96254,-3.35929,3.21916,53.12915,-0.47537,-2.10089,14.05256,-11.63421,-2.23772,6.56168,-2.57709,-6.36716,91.50703,-2.4729,-6.07841,54.81597,10.98133,-6.1849,14.88739,20.22799,-7.93797,9.03956,30.27254
1.03333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.72723,109.63425,-3.52412,-0.89394,118.62641,-3.50548,-0.30105,134.94893,-2.30552,-0.6065,141.36648,-1.66449,4.52615,131.44055,-3.14099,9.85898,131.08153,-2.95626,15.84042,107.50215,-3.29637,18.3766,87.32289,5.82946,-5.4057,131.75072,-2.44875,-10.65199,131.54316,-1.43098,-17.17027,108.18572,-3.38989,-20.61791,87.20143,3.29474,6.54018,92.01446,-3.4898,3.29542,53.14058,-1.11798,-2.02396,14.31854,-13.1328,-2.15289,6.82767,-4.07554,-6.33753,91.45587,-2.36415,-5.9482,54.96895,11.63181,-5.71842,15.73654,23.48795,-6.78486,10.88803,34.14245
1.06667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.78677,109.63398,-3.4393,-0.96817,118.62572,-3.38702,-0.32705,134.94611,-2.18282,-0.64555,141.36229,-1.53449,4.47728,131.43147,-3.11788,9.81191,131.06199,-3.03255,15.54004,107.41756,-3.13239,17.87554,87.47523,6.55081,-5.43832,131.75559,-2.22742,-10.6595,131.53188,-1.09084,-17.28471,108.19037,-2.87294,-20.706,87.15816,3.6732,6.53976,92.03924,-3.58262,3.50801,53.1126,-1.89229,-1.83399,14.5831,-14.80522,-1.96328,7.09223,-5.74798,-6.32052,91.43116,-2.29497,-5.68829,54.91612,11.61856,-5.0426,16.43954,25.72313,-5.97193,12.39587,36.72079
1.1,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.83461,109.63435,-3.3222,-1.02732,118.62554,-3.23009,-0.34451,134.94638,-2.05536,-0.67882,141.36195,-1.40893,4.4399,131.4237,-3.0597,9.77452,131.04451,-3.06755,15.22914,107.33532,-3.0189,17.41967,87.52642,6.96732,-5.46043,131.76321,-2.01785,-10.66179,131.53416,-0.79482,-17.32215,108.18747,-2.36557,-20.73182,87.0924,3.98133,6.53968,92.0621,-3.65285,3.68714,53.09152,-2.95357,-1.5716,14.85315,-16.73673,-1.70425,7.36228,-7.67953,-6.3071,91.4082,-2.25736,-5.43066,54.98478,11.88125,-4.51259,16.76273,26.64726,-5.609,13.06704,37.75146
1.13333,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.79471,109.63863,-3.1849,-0.96691,118.6297,-3.05,-0.25345,134.95302,-1.92928,-0.59901,141.36934,-1.29625,4.51795,131.42115,-2.96282,9.85094,131.02482,-3.02761,15.04137,107.25636,-3.00399,17.13632,87.45998,7.02747,-5.37295,131.77667,-1.83993,-10.56186,131.54417,-0.56572,-17.18991,108.17367,-1.90147,-20.61034,87.00922,4.20407,6.53159,92.05075,-3.69968,3.86314,53.06588,-4.32565,-1.2209,15.09669,-18.89605,-1.36965,7.60582,-9.8391,-6.31013,91.41836,-2.2488,-5.05643,54.98236,11.82885,-3.74462,16.64817,26.27088,-5.29458,12.53791,37.17349
1.16667,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.58379,109.64883,-3.06646,-0.66911,118.64057,-2.89786,0.07956,134.96649,-1.83961,-0.27026,141.38372,-1.21839,4.84112,131.42138,-2.87323,10.16985,130.97546,-2.96162,15.1151,107.15507,-3.08059,17.12449,87.22833,6.70729,-5.04591,131.80061,-1.72435,-10.22622,131.53608,-0.42167,-16.79311,108.13729,-1.54779,-20.23555,86.91669,4.34685,6.50401,91.96847,-3.73077,4.10415,53.04099,-6.22568,-0.69951,15.21178,-21.24829,-0.8676,7.72093,-12.19166,-6.34132,91.4978,-2.25071,-4.56124,55.12863,11.94256,-2.70203,16.38006,25.16733,-4.62013,11.14797,35.51671
1.2,0.0,0.0,0.0,0.0,93.9241,-3.0,-0.31669,109.65656,-2.9579,-0.29849,118.64823,-2.76653,0.45719,134.97991,-1.80679,0.10929,141.39805,-1.19382,5.21351,131.42808,-2.84145,10.53804,130.93649,-2.94036,15.25399,107.07093,-3.2152,17.22855,86.85847,5.97572,-4.66813,131.81559,-1.64973,-9.84474,131.51552,-0.34009,-16.34495,108.09246,-1.34144,-19.82395,86.8429,4.42603,6.46053,91.86342,-3.82207,4.29725,53.14278,-8.65582,-0.1008,15.30339,-23.77667,-0.27592,7.75514,-14.76796,-6.37228,91.6007,-2.18966,-4.18968,55.06776,11.51854,-1.9087,16.02141,23.7653,-3.73448,9.85695,33.6055
