time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  93.92680, -60.67570,   2.83905,  95.34220,  77.85120, -97.84990,  16.48390,   2.03687,  -5.31759,  -1.00886,  11.59100,  -3.15513, -10.60070,  16.73780, -10.19980, -91.05010,   7.57048, -97.07940, -56.38960,   8.67808, -25.74270,  -1.59458,  -6.81426, -13.20640,  19.16100,   5.53856,  -8.17823,  89.85590,   6.42809,-103.71300, -61.00710,  14.95690, -11.62530,   6.27091,   7.29990, -40.85940,  15.14110,   5.38529,  -2.46391,-178.02000,  -3.73605, -22.91740,  -0.00597,   0.01698,  42.22060,  -4.22640,  -5.66207, -69.20820,  -0.03073,   0.04660, -15.73830, 175.33500,  21.22880, 161.95900,   0.77425,  -0.32638,  67.13840, -24.38920,  18.87860, -45.36950,   0.39265,  -0.47273, -21.09340
   0.03333,   0.00000,   0.00000,  -0.00000,  93.03320, -59.84500,   2.32520,  94.96120,  77.78570, -96.82730,  16.61270,   1.93570,  -4.02016,  -0.70794,  11.31070,  -2.90483, -10.77230,  16.74330,  -9.75002, -90.97000,   7.09691, -97.19660, -54.77020,  10.40500, -27.90520,  -2.15172,  -7.06245, -16.98660,  18.75540,   5.54217,  -8.34210,  89.83030,   6.09101,-103.40100, -60.75690,  13.99860, -10.37290,   6.03358,   7.09578, -40.55710,  15.45270,   5.39384,  -2.73874,-176.69400,  -3.16747, -19.18680,   0.00753,   0.00255,  38.26710,  -5.01512,  -5.22332, -68.67050,  -0.03074,   0.04662, -15.73810, 174.50100,  21.07300, 159.53200,   0.74107,  -0.33049,  66.06450, -22.24480,  18.09430, -47.61200,   0.38998,  -0.46929, -21.06120
   0.06667,   0.00000,   0.00000,  -0.00000,  92.62060, -59.02100,   2.31036,  94.69770,  77.78500, -95.93920,  16.61010,   1.87368,  -2.75996,  -0.27659,  11.05260,  -2.74521, -10.78850,  16.77860,  -9.07244, -90.89280,   6.58747, -97.26440, -52.72490,  12.51740, -29.83000,  -2.76588,  -7.24399, -20.97030,  19.15210,   5.55630,  -9.00631,  89.79760,   5.74363,-102.97900, -60.65390,  12.83740,  -9.62102,   5.40354,   6.77051, -38.74650,  14.99570,   5.38450,  -2.43962,-175.54300,  -3.38423, -15.26930,   0.01960,  -0.01643,  34.06450,  -5.56302,  -4.01522, -67.88200,  -0.02703,   0.04107, -15.83870, 173.22600,  20.98270, 158.03900,   0.63508,  -0.33117,  62.58660, -17.95420,  16.50490, -51.43190,   0.34573,  -0.41213, -20.52980
   0.10000,   0.00000,   0.00000,  -0.00000,  92.86070, -58.08060,   2.74755,  94.31580,  77.84530, -95.00800,  16.49110,   1.74847,  -1.63977,   0.00717,  10.87110,  -2.47332, -10.84260,  16.95800,  -8.48897, -90.84300,   6.18933, -97.22900, -50.46070,  14.30850, -31.68690,  -3.52618,  -7.64883, -24.83000,  19.80320,   5.57411,  -9.89981,  89.76010,   5.67176,-102.57500, -60.43570,  11.34450,  -9.21322,   4.97880,   6.87068, -36.06760,  14.46920,   5.37241,  -2.06116,-174.71800,  -3.54413, -11.73140,   0.02811,  -0.03638,  30.18870,  -6.01811,  -2.79903, -67.07540,  -0.02159,   0.03290, -15.98600, 171.54300,  21.15740, 157.16900,   0.51486,  -0.33847,  56.84220, -13.83490,  13.09280, -54.21550,   0.35169,  -0.41977, -20.60090
   0.13333,   0.00000,   0.00000,  -0.00000,  93.13670, -56.85210,   3.11460,  93.88010,  77.91020, -93.99260,  16.36430,   1.60254,  -0.45564,   0.15968,  10.74770,  -2.08433, -11.17350,  17.16180,  -8.17036, -90.83550,   6.13543, -97.23060, -48.02880,  15.47020, -33.48830,  -4.27222,  -7.98265, -28.31480,  20.32400,   5.58785, -10.64250,  89.70690,   6.06258,-102.22700, -59.89150,   9.61065,  -8.97786,   4.59454,   7.11263, -32.99060,  14.68880,   5.36449,  -1.81721,-173.77000,  -3.46692,  -8.69723,   0.03494,  -0.05789,  26.85480,  -6.75641,  -1.46349, -66.41730,  -0.01988,   0.03032, -16.03230, 169.97100,  21.21330, 157.20500,   0.37309,  -0.32965,  48.74760,  -9.47017,   8.84302, -55.90170,   0.35114,  -0.41906, -20.59440
   0.16667,   0.00000,   0.00000,  -0.00000,  93.61210, -55.42400,   3.33234,  93.59330,  78.03870, -93.14460,  16.10760,   1.50946,   0.68486,   0.12377,  10.59960,  -1.51625, -11.59680,  17.44760,  -8.13713, -90.86610,   6.37989, -97.25240, -45.43680,  16.23440, -35.30500,  -5.04177,  -8.36460, -31.27890,  20.64790,   5.59207, -10.87930,  89.63970,   6.79006,-101.95500, -59.33900,   7.21903,  -8.86496,   4.23363,   7.54350, -29.42460,  15.06690,   5.36609,  -1.86761,-172.82200,  -2.98814,  -6.73332,   0.03985,  -0.07502,  24.67920,  -7.69210,  -0.33834, -66.11490,  -0.01574,   0.02406, -16.14540, 168.51900,  20.92300, 157.99400,   0.22644,  -0.28904,  38.34250,  -4.42684,   4.53152, -55.78000,   0.36678,  -0.43917, -20.78160
   0.20000,   0.00000,   0.00000,  -0.00000,  94.36730, -53.94040,   3.54563,  93.78770,  78.21900, -92.84570,  15.73620,   1.59952,   1.66485,   0.05100,  10.39690,  -1.01671, -12.08410,  17.47930,  -7.88044, -90.88380,   6.58764, -97.34120, -43.27660,  16.57940, -37.24070,  -5.52810,  -8.55897, -33.03620,  20.82280,   5.59613, -11.11430,  89.57660,   7.59469,-101.80000, -58.98600,   4.68768,  -8.74695,   3.83808,   7.98044, -25.79720,  15.75830,   5.34331,  -1.17949,-171.79400,  -2.54257,  -5.90668,   0.03943,  -0.07257,  24.14490,  -8.87474,   0.93227, -66.48870,  -0.00967,   0.01482, -16.31180, 166.82900,  19.36240, 159.59200,   0.10526,  -0.21537,  26.28700,  -0.86542,  -0.77882, -54.51320,   0.32519,  -0.38595, -20.28500
   0.23333,   0.00000,   0.00000,  -0.00000,  94.30360, -52.30590,   2.14277,  94.77120,  78.73270, -93.20920,  14.67140,   1.94460,   2.87563,   0.60115,  10.02720,  -0.60750, -12.97090,  17.31400,  -7.41523, -90.91800,   6.99296, -97.50220, -41.18170,  16.77260, -39.24400,  -5.57607,  -8.50651, -33.44070,  20.58900,   5.60034, -11.36390,  89.54640,   8.43129,-101.90900, -58.78160,   2.43354,  -8.57157,   3.12143,   7.73677, -22.05610,  16.43250,   5.31786,  -0.43512,-170.00400,  -1.93075,  -6.50450,   0.04422,  -0.08176,  24.19160, -10.38130,   2.13781, -66.94920,  -0.00140,   0.00216, -16.53870, 165.31200,  17.20060, 159.48900,   0.08597,  -0.25576,  18.96890,  -7.83082,  -6.56379, -54.10740,   0.30392,  -0.35913, -20.03390
   0.26667,   0.00000,   0.00000,  -0.00000,  94.50730, -49.71190,   2.56444,  94.50850,  78.85100, -92.38540,  14.43700,   1.85464,   4.01355,   0.63893,   9.56912,  -0.46286, -12.79170,  16.61260,  -6.17776, -90.91340,   7.06294, -97.61210, -39.87640,  17.13000, -41.23060,  -5.24838,  -8.29010, -32.49770,  20.56740,   5.60095, -11.39920,  89.54260,   9.16761,-102.13100, -59.18990,   0.15451,  -8.41160,   2.58621,   8.00340, -17.97770,  16.73150,   5.29639,   0.17329,-167.73800,  -0.33388,  -5.56835,   0.04309,  -0.07618,  24.75530, -12.03560,   3.68069, -67.57700,   0.01842,  -0.02864, -17.08870, 165.57300,  20.59930, 157.39300,   0.18072,  -0.37220,  26.31600, -11.18800,  -4.28922, -52.25560,   0.15748,  -0.18060, -18.33620
   0.30000,   0.00000,   0.00000,  -0.00000,  94.35510, -47.41320,   3.39735,  93.76130,  78.64810, -91.02100,  14.85940,   1.63938,   5.27060,  -0.13574,   9.42529,  -0.43894, -12.02420,  15.89000,  -4.83603, -90.96290,   7.12311, -97.28100, -40.65270,  16.86020, -42.40470,  -4.21900,  -7.07339, -30.91320,  21.13830,   5.59667, -11.14900,  89.64040,  10.11140,-102.95100, -58.43270,   0.45182,  -8.71013,   1.53008,   6.13432, -14.02790,  16.98830,   5.29078,   0.33597,-165.29900,   1.29436,  -4.69840,   0.04689,  -0.07681,  26.35560, -12.62840,   4.29123, -67.34100,   0.05327,  -0.08446, -18.07810, 166.87300,  23.08870, 155.05000,   0.25244,  -0.33417,  37.28560,  -8.86699,  -2.78637, -58.70850,   0.09234,  -0.10452, -17.59960
   0.33333,   0.00000,   0.00000,  -0.00000,  93.80620, -45.40200,   5.01358,  92.17780,  78.06260, -88.85640,  16.06890,   1.13360,   6.49038,  -0.20594,   9.23314,   0.22026, -11.67270,  15.66320,  -3.37439, -90.92930,   6.75583, -97.14970, -44.60850,  15.62210, -41.59760,  -3.07016,  -5.44686, -29.46050,  22.69660,   5.59141, -10.84750,  89.85640,  11.19010,-104.26000, -56.86170,   2.01986,  -9.51988,   0.94799,   4.92820, -10.90920,  20.67800,   5.25954,   1.15406,-162.74300,   2.09469,  -4.03809,   0.06633,  -0.09660,  29.85000, -12.02110,   3.97517, -65.20630,   0.11337,  -0.18607, -19.85140, 167.93300,  24.15990, 156.68700,   0.27757,  -0.29282,  43.29190,  -7.04961,  -2.80585, -63.75990,  -0.04640,   0.05112, -16.06600
   0.36667,   0.00000,   0.00000,  -0.00000,  93.90290, -43.10350,   6.34509,  91.01130,  77.84420, -87.41400,  16.53060,   0.69690,   7.10310,  -0.41675,   8.63905,   0.98511, -10.98870,  15.14070,  -0.87882, -90.87420,   6.35344, -97.14950, -49.11280,  15.51030, -40.38160,  -3.33263,  -6.39068, -27.64980,  24.26260,   5.59808, -11.22560,  89.80860,  12.46130,-104.11300, -55.07360,   2.34091, -10.11510,   1.07518,   6.04070, -10.12010,  21.04770,   5.19663,   2.81074,-161.56500,   3.19477,  -5.72546,   0.12106,  -0.15620,  34.88760, -10.09640,   0.52695, -60.69730,   0.19378,  -0.33451, -22.38840, 168.54600,  25.39170, 159.49200,   0.27099,  -0.25906,  45.75930,  -6.40688,  -3.54478, -67.74010,  -0.09202,   0.10053, -15.57130
   0.40000,   0.00000,   0.00000,  -0.00000,  94.33600, -41.28020,   7.16637,  90.70800,  78.00570, -87.04110,  16.21350,   0.56173,   7.26260,  -0.23523,   8.09423,   2.01881, -10.09510,  14.80950,   1.18328, -90.83830,   6.12083, -97.18610, -53.45960,  16.52100, -38.11130,  -3.87082,  -7.87635, -26.23040,  24.07750,   5.60031, -11.35640,  89.67950,  12.89460,-103.56400, -54.16960,   2.58007,  -9.97039,   1.87346,   9.46771, -11.24980,  18.05710,   5.16680,   3.53143,-161.95600,   4.76604,  -8.38229,   0.18050,  -0.20365,  39.80490,  -8.15335,  -6.19153, -55.60320,   0.17065,  -0.29019, -21.63710, 168.95000,  27.19560, 162.53900,   0.24194,  -0.22973,  45.61990,  -5.62291,  -3.65157, -70.06490,  -0.09447,   0.10316, -15.54480
   0.43333,   0.00000,   0.00000,  -0.00000,  94.64720, -40.54770,   7.83972,  91.57360,  78.13710, -87.86750,  15.93320,   0.90561,   7.29345,   0.08593,   7.82442,   3.01083,  -9.23339,  14.54480,   2.84782, -90.87470,   6.27169, -97.04370, -56.66410,  18.59810, -34.96710,  -3.76611,  -7.78502, -25.90150,  22.11110,   5.58864, -10.66700,  89.64310,  12.36090,-103.33300, -53.81390,   3.01647,  -9.56540,   2.33203,   9.75387, -13.52330,  14.33440,   5.21366,   2.34576,-163.59300,   4.52767, -10.58260,   0.18559,  -0.18341,  44.10250,  -0.49106, -12.91680, -51.69890,   0.08761,  -0.14168, -19.08080, 169.30100,  28.45170, 166.08200,   0.19550,  -0.19569,  43.65170,  -4.77609,  -3.43657, -71.15570,  -0.08789,   0.09610, -15.61600
   0.46667,   0.00000,   0.00000,  -0.00000,  94.43150, -40.95410,   8.35851,  93.48010,  78.14080, -89.70760,  15.86820,   1.68502,   7.31847,   0.12574,   7.73345,   3.79884,  -8.25762,  14.17950,   4.60264, -90.97030,   6.56902, -96.57860, -58.51580,  22.07320, -30.90770,  -2.98244,  -5.85857, -27.04690,  20.04430,   5.57394,  -9.88905,  89.66750,  11.89700,-103.38700, -52.78630,   4.66671,  -8.98965,   2.27233,   7.72349, -16.46280,  11.38240,   5.29150,   0.29693,-164.62500,   3.21107, -11.19310,   0.17847,  -0.15787,  47.18710,  -0.92332, -13.99980, -54.01020,   0.09156,  -0.14836, -19.19720, 170.00000,  28.73120, 170.17600,   0.14213,  -0.15401,  40.50970,  -3.79326,  -3.08016, -71.53480,  -0.05644,   0.06208, -15.95660
   0.50000,   0.00000,   0.00000,  -0.00000,  94.76090, -41.77420,   9.10471,  95.63420,  78.06350, -92.02000,  15.93090,   2.56628,   6.87777,  -0.08993,   7.64386,   4.43134,  -7.61443,  13.74870,   5.73265, -91.05850,   6.80251, -96.13380, -60.12290,  25.86420, -26.17350,  -1.76897,  -3.20906, -28.89530,  18.52890,   5.57758, -10.08740,  89.62900,  11.82400,-103.19000, -50.97900,   7.33189,  -8.86955,   2.25879,   6.30611, -19.76810,  10.95280,   5.32918,  -0.76210,-166.60300,   1.58368, -12.14710,   0.17636,  -0.14302,  49.77100,  -1.45071, -10.73980, -54.89380,   0.08875,  -0.14357, -19.11370, 170.16400,  28.97070, 174.22900,   0.09790,  -0.11522,  36.80710,  -2.71458,  -2.42731, -71.37040,  -0.02983,   0.03298, -16.24680
   0.53333,   0.00000,   0.00000,  -0.00000,  95.23100, -42.61050,   9.46197,  97.86380,  78.06470, -94.44700,  15.80480,   3.45774,   6.36178,  -0.23147,   7.32291,   4.75895,  -7.44119,  13.11540,   6.04630, -91.13610,   6.97632, -95.72760, -61.84730,  29.92240, -21.11400,  -1.02450,  -1.72647, -30.69870,  17.69370,   5.58923, -10.72180,  89.50370,  11.61750,-102.53700, -49.12480,  10.17600,  -9.29101,   2.64616,   6.24803, -23.01730,  13.23340,   5.33360,  -0.89063,-169.16400,   0.01290, -14.05180,   0.17068,  -0.12976,  51.78680,  -3.16286,  -6.88897, -55.04780,   0.08719,  -0.14094, -19.06760, 170.50700,  28.66420, 177.49800,   0.06357,  -0.07793,  33.14620,  -2.11228,  -2.19078, -71.13610,  -0.01095,   0.01215, -16.45360
   0.56667,   0.00000,   0.00000,  -0.00000,  95.53630, -43.16610,   9.48699,  99.49050,  78.08140, -96.21320,  15.66250,   4.09950,   5.99857,  -0.39091,   6.91360,   4.80659,  -7.15830,  12.25100,   5.79640, -91.20180,   7.13518, -95.41360, -64.30290,  33.13150, -15.84630,  -0.72336,  -1.18019, -31.51300,  16.59210,   5.59689, -11.16080,  89.40230,  11.10170,-101.89900, -47.81000,  11.51700,  -9.94992,   3.32940,   6.87315, -25.92940,  15.42980,   5.33659,  -0.97756,-172.10400,  -1.40897, -16.46240,   0.14506,  -0.10627,  52.89450,  -5.10693,  -4.00974, -55.50590,   0.08987,  -0.14548, -19.14700, 171.04000,  28.16730,-179.81000,   0.04010,  -0.04530,  30.00630,  -1.69005,  -2.42556, -70.94470,   0.01258,  -0.01402, -16.71250
   0.60000,   0.00000,   0.00000,  -0.00000,  95.92440, -43.68410,   9.36518, 100.76500,  78.07710, -97.67520,  15.57710,   4.60114,   5.55827,  -0.56317,   6.46876,   4.74776,  -6.76016,  11.29810,   5.31419, -91.27440,   7.36477, -95.15490, -67.22190,  34.93430, -10.67290,  -0.58450,  -0.97052, -31.06410,  15.17070,   5.59849, -11.25320,  89.36190,  10.53580,-101.51400, -47.11290,  10.79410, -10.62710,   3.70432,   6.90149, -28.32700,  15.89080,   5.34809,  -1.32006,-175.48100,  -2.86612, -18.97290,   0.10163,  -0.07577,  52.47860,  -7.14622,  -2.60586, -56.41420,   0.09253,  -0.15005, -19.22650, 171.72500,  27.36770,-177.82100,   0.02575,  -0.02085,  27.46130,  -1.33733,  -3.01950, -70.92040,   0.03907,  -0.04376, -17.00540
