time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  80.49750, -48.70300,  -4.99672, 165.71200,  85.21680,-165.34900,  -5.47329,   9.21726,   1.16958,  -2.22276,   6.29602,   5.01678,  11.35390,   4.83367,   9.84784, -90.90750,   3.02518, -88.29250, -36.08180, -46.38630,  30.06820,  22.17860,  29.04040, -40.02320,  52.27540,   5.26055,   1.15332,  89.66540,   4.96773,-101.14100, -63.22380, -15.49800,   0.48840,  10.80360,  22.12590, -26.87070,  41.88630,   5.11002,   4.88449,-173.51000,  11.56480, -15.24560,  -0.10894,   0.11655,  42.98220,  -8.01542, -26.48280, -66.69680,  -1.94156,  -2.87549, -24.36700,-165.79100,   6.86929, 174.21900,   0.15751,  -0.29775,  23.66510,   5.13381, -13.65460, -67.24350,  -0.14800,   0.10237, -16.57240
   0.03333,   0.00000,   0.00000,  -0.00000,  80.68180, -49.24170,  -5.00092, 166.69700,  85.16530,-166.37900,  -5.60842,   9.36075,   1.09670,  -2.26981,   6.50825,   4.57307,  11.43960,   4.85476,   9.54793, -90.95720,   3.15380, -88.10770, -36.59370, -46.47000,  29.99420,  21.65110,  28.88310, -39.41400,  54.02610,   5.28267,   0.55929,  89.67830,   4.97638,-101.29700, -64.09420, -13.92230,   0.03900,  12.00770,  22.01860, -29.56910,  41.22920,   5.06740,   5.85152,-173.72800,  11.14650, -15.11200,  -0.10502,   0.11462,  42.59440,  -8.03098, -26.58640, -66.57760,  -1.93292,  -2.86753, -24.44570,-166.01100,   6.33656, 174.22500,   0.15637,  -0.29845,  23.49030,   5.12686, -13.61040, -67.07710,  -0.14253,   0.09916, -16.57240
   0.06667,   0.00000,   0.00000,  -0.00000,  80.95010, -49.92820,  -4.95072, 167.87800,  85.09820,-167.62900,  -5.77259,   9.54266,   0.98022,  -2.31623,   6.78498,   4.15145,  11.53950,   4.94480,   9.13139, -90.99700,   3.24363, -87.90450, -37.02350, -46.50620,  29.95870,  21.73270,  29.51270, -38.97860,  56.53670,   5.29573,   0.19174,  89.68810,   5.05485,-101.46400, -64.90380, -11.98230,  -0.24163,  13.68280,  21.99170, -33.03070,  40.38410,   5.01207,   7.06473,-174.03300,  10.56280, -14.93610,  -0.10160,   0.11289,  42.15430,  -7.97298, -26.70370, -66.44540,  -1.92386,  -2.85617, -24.41890,-166.33900,   5.80099, 174.21700,   0.15256,  -0.29230,  23.35290,   5.11926, -13.43930, -66.92320,  -0.14594,   0.10231, -16.57240
   0.10000,   0.00000,   0.00000,  -0.00000,  81.22820, -50.61770,  -4.94066, 169.27700,  85.06800,-169.08900,  -5.99430,   9.65483,   0.88321,  -2.35228,   7.20061,   3.66051,  11.61420,   5.07157,   8.70633, -91.06960,   3.42296, -87.63650, -37.01720, -46.64490,  30.21920,  21.80660,  29.77710, -38.85650,  57.47510,   5.29945,   0.08753,  89.70630,   5.10102,-101.70100, -65.86630, -10.41840,  -0.50958,  15.33590,  21.48150, -36.83080,  39.10530,   4.95258,   8.31419,-174.34400,  10.01160, -14.81500,  -0.09888,   0.11164,  41.70320,  -7.89707, -26.87230, -66.26180,  -1.92527,  -2.85888, -24.43880,-166.65900,   5.26395, 174.18300,   0.15030,  -0.29063,  23.16620,   5.12521, -13.24750, -66.74770,  -0.15184,   0.10731, -16.57220
   0.13333,   0.00000,   0.00000,  -0.00000,  81.54020, -51.30340,  -4.98674, 170.93200,  85.02140,-170.79000,  -6.26077,   9.79942,   0.82299,  -2.43775,   7.62164,   3.12569,  11.70770,   5.23902,   8.16906, -91.13670,   3.57989, -87.37180, -37.30320, -46.65100,  30.16140,  21.58990,  29.93950, -38.41080,  59.16180,   5.30690,  -0.12164,  89.71810,   5.15869,-101.86800, -66.70690,  -8.79088,  -0.70566,  17.26540,  21.00760, -40.92480,  37.97260,   4.91499,   9.07984,-174.63900,   9.42260, -14.71840,  -0.09409,   0.10919,  41.12510,  -7.82777, -26.94570, -66.13410,  -1.92634,  -2.85206, -24.43900,-166.98500,   4.67815, 174.04700,   0.14836,  -0.28984,  22.96740,   5.13084, -13.09320, -66.54470,  -0.14716,   0.10475, -16.57210
   0.16667,   0.00000,   0.00000,  -0.00000,  81.83620, -51.97990,  -5.01613, 172.17200,  84.96970,-172.04400,  -6.46230,   9.93373,   0.82039,  -2.54452,   8.10741,   2.51981,  11.72380,   5.47526,   7.51301, -91.16270,   3.62054, -87.18270, -37.66290, -46.78740,  30.16910,  21.51980,  30.10700, -38.16990,  60.09480,   5.30341,  -0.02371,  89.73790,   5.16954,-102.09400, -67.45090,  -6.95685,  -0.85054,  19.62940,  20.58260, -45.41360,  37.38670,   4.86035,  10.16110,-174.92400,   8.87712, -14.58650,  -0.08903,   0.10614,  40.52310,  -7.83381, -27.05890, -66.01950,  -1.88933,  -2.81505, -24.45250,-167.30300,   4.23283, 173.96900,   0.14630,  -0.29014,  22.69610,   5.17672, -12.80310, -66.31670,  -0.14624,   0.10485, -16.57210
   0.20000,   0.00000,   0.00000,  -0.00000,  82.11290, -52.53460,  -5.06047, 173.38700,  84.92830,-173.24100,  -6.66938,  10.03910,   0.88016,  -2.65249,   8.58614,   1.95151,  11.78810,   5.74606,   6.61886, -91.18350,   3.66599, -87.09510, -38.03750, -46.71450,  30.12670,  21.31880,  30.14370, -37.85250,  60.13420,   5.29587,   0.18827,  89.75670,   5.13806,-102.28500, -68.02130,  -5.02395,  -0.78079,  21.85030,  19.49590, -50.22990,  36.02110,   4.81608,  11.01480,-175.17000,   8.46822, -14.49800,  -0.08496,   0.10385,  39.93800,  -7.82658, -27.21340, -65.92360,  -1.88579,  -2.80052, -24.42820,-167.59500,   3.94622, 173.84800,   0.14176,  -0.28399,  22.44480,   5.22618, -12.49120, -66.10170,  -0.15266,   0.11013, -16.57180
   0.23333,   0.00000,   0.00000,  -0.00000,  82.45000, -53.02280,  -5.10132, 174.54300,  84.89970,-174.37500,  -6.87254,  10.11270,   0.94732,  -2.81654,   9.11774,   1.30911,  11.93180,   6.07117,   5.78538, -91.20270,   3.70544, -87.00370, -38.47660, -46.63170,  29.84780,  20.85150,  30.21080, -37.12450,  60.64470,   5.30263,  -0.00169,  89.76920,   5.17669,-102.44400, -68.34320,  -2.85594,  -0.72262,  24.00770,  18.20760, -54.94910,  35.56730,   4.78362,  11.62510,-175.44600,   8.19540, -14.50390,  -0.08119,   0.10214,  39.36720,  -7.82530, -27.41390, -65.77380,  -1.85921,  -2.77174, -24.43140,-167.90500,   3.69293, 173.63500,   0.13919,  -0.28211,  22.21440,   5.27378, -12.20140, -65.87820,  -0.15823,   0.11475, -16.57170
   0.26667,   0.00000,   0.00000,  -0.00000,  82.81610, -53.39380,  -5.12826, 175.57700,  84.88370,-175.38600,  -7.05795,  10.15640,   1.01110,  -2.95747,   9.65869,   0.67387,  11.97670,   6.43718,   4.93482, -91.20320,   3.68931, -86.92340, -38.87960, -46.64310,  29.57740,  20.47310,  30.14990, -36.62450,  60.22920,   5.29957,   0.08407,  89.78110,   5.14387,-102.56000, -68.67140,  -0.67137,  -0.62523,  26.25470,  16.69780, -59.77860,  35.28830,   4.75354,  12.18520,-175.71700,   8.03019, -14.59550,  -0.08024,   0.10187,  38.86980,  -7.72071, -27.62560, -65.52740,  -1.85693,  -2.76992, -24.42700,-168.20100,   3.39223, 173.41100,   0.13588,  -0.27882,  21.96270,   5.29821, -12.05730, -65.64630,  -0.14980,   0.10903, -16.57190
   0.30000,   0.00000,   0.00000,  -0.00000,  83.22610, -53.72180,  -5.12936, 176.55500,  84.86050,-176.35300,  -7.23314,  10.21170,   1.05312,  -3.05120,  10.17480,   0.17168,  11.90550,   6.85256,   3.96676, -91.18940,   3.63667, -86.87610, -39.25800, -46.59800,  29.31070,  20.19670,  30.07830, -36.27820,  59.37270,   5.29653,   0.16937,  89.79500,   5.12250,-102.70600, -68.92490,   1.22291,  -0.33695,  28.35860,  14.67900, -64.85190,  33.79430,   4.71938,  12.80870,-175.98600,   7.79045, -14.70450,  -0.07718,   0.10091,  38.34300,  -7.61447, -27.77660, -65.24090,  -1.84210,  -2.74779, -24.36280,-168.49000,   2.93457, 173.18000,   0.13401,  -0.28021,  21.64660,   5.30649, -12.11910, -65.34840,  -0.15649,   0.11431, -16.57180
   0.33333,   0.00000,   0.00000,  -0.00000,  83.68590, -54.02240,  -5.11172, 177.37500,  84.83290,-177.17700,  -7.37945,  10.27380,   1.06021,  -3.24907,  10.70960,  -0.28548,  11.90220,   7.28540,   3.09690, -91.19370,   3.64993, -86.87600, -39.44670, -46.54040,  29.01520,  20.00960,  30.34450, -35.78500,  59.31050,   5.29508,   0.21024,  89.80090,   5.09253,-102.75800, -69.14730,   3.14330,  -0.13418,  30.13390,  12.38960, -69.71470,  33.00300,   4.68927,  13.34920,-176.26300,   7.46347, -14.83820,  -0.07500,   0.09937,  37.78950,  -7.44235, -27.78630, -64.87930,  -1.82581,  -2.73034, -24.39140,-168.83200,   2.81282, 172.93600,   0.13006,  -0.27648,  21.31810,   5.35990, -11.87590, -65.08130,  -0.15284,   0.11198, -16.57160
   0.36667,   0.00000,   0.00000,  -0.00000,  84.21650, -54.24270,  -5.08752, 178.33000,  84.82960,-178.15700,  -7.55131,  10.28860,   1.02825,  -3.41140,  11.24740,  -0.74090,  11.85750,   7.77576,   2.30779, -91.19120,   3.64017, -86.86580, -39.45830, -46.51170,  28.85840,  19.83750,  30.39770, -35.48760,  58.53900,   5.28290,   0.54812,  89.80880,   5.07114,-102.83800, -69.24080,   5.11430,   0.07204,  31.85430,   9.98518, -74.40680,  32.23570,   4.69319,  13.28040,-176.55400,   7.21761, -15.03270,  -0.07120,   0.09736,  37.21780,  -7.31020, -27.76520, -64.49680,  -1.78038,  -2.68736, -24.41940,-169.19700,   2.93333, 172.61500,   0.12756,  -0.27648,  20.98320,   5.45541, -11.46380, -64.81830,  -0.16104,   0.11829, -16.57150
   0.40000,   0.00000,   0.00000,  -0.00000,  84.69470, -54.46350,  -5.11050, 179.16400,  84.81160,-178.98900,  -7.70383,  10.32650,   1.04946,  -3.63692,  11.76550,  -1.11603,  11.90350,   8.27592,   1.35253, -91.18690,   3.62371, -86.85120, -39.38130, -46.67130,  28.83940,  19.81050,  30.46610, -35.39270,  57.42400,   5.26905,   0.92437,  89.81800,   5.01341,-102.91800, -69.09460,   7.12248,   0.20005,  33.79930,   7.42678, -79.07010,  30.70880,   4.67567,  13.59520,-176.81800,   6.99459, -15.24300,  -0.06954,   0.09620,  36.63190,  -7.10630, -27.78530, -64.09500,  -1.76942,  -2.67366, -24.39980,-169.53600,   2.98531, 172.31100,   0.12189,  -0.26908,  20.59230,   5.53557, -11.10160, -64.51420,  -0.14990,   0.11032, -16.57160
   0.43333,   0.00000,   0.00000,  -0.00000,  85.17570, -54.64140,  -5.16616,-179.91100,  84.79490,-179.89200,  -7.87575,  10.35630,   1.11065,  -3.85110,  12.32150,  -1.51655,  11.96380,   8.81239,   0.39195, -91.18000,   3.60786, -86.87580, -39.32190, -46.72740,  28.80000,  19.43640,  30.29630, -34.97210,  56.89840,   5.26221,   1.10760,  89.82950,   4.92180,-103.01400, -68.72400,   9.26236,   0.27601,  35.43500,   4.65156, -83.49820,  29.22050,   4.65688,  13.92420,-177.07200,   6.81830, -15.47560,  -0.06254,   0.09367,  36.03690,  -7.05181, -27.78790, -63.73030,  -1.69741,  -2.60202, -24.46010,-169.85100,   2.91458, 171.94100,   0.11933,  -0.26907,  20.23560,   5.58351, -10.92940, -64.21170,  -0.15648,   0.11541, -16.57140
   0.46667,   0.00000,   0.00000,  -0.00000,  85.66670, -54.77100,  -5.23035,-178.99600,  84.75240, 179.21600,  -8.04866,  10.43490,   1.17726,  -4.05472,  12.85540,  -1.90681,  12.00170,   9.30870,  -0.53358, -91.17810,   3.61422, -86.93320, -39.13420, -46.79690,  28.85790,  19.47870,  30.26680, -35.05910,  55.34440,   5.24165,   1.66091,  89.83480,   4.89276,-103.06400, -68.13520,  11.35390,   0.34035,  35.99390,   1.71192, -87.64480,  28.36790,   4.66269,  13.82100,-177.35700,   6.76255, -15.68930,  -0.05537,   0.09353,  35.38220,  -6.83163, -27.88180, -63.35190,  -1.68562,  -2.58365, -24.33660,-170.18300,   3.01036, 171.56800,   0.11601,  -0.26793,  19.83290,   5.64588, -10.59990, -63.89650,  -0.15740,   0.11623, -16.57150
   0.50000,   0.00000,   0.00000,  -0.00000,  86.10100, -54.83400,  -5.32205,-178.22900,  84.70400, 178.48000,  -8.19827,  10.52220,   1.26078,  -4.29732,  13.36590,  -2.24987,  12.07700,   9.74370,  -1.47667, -91.18040,   3.62922, -86.96950, -39.04290, -46.77110,  28.64870,  19.24250,  30.26310, -34.70780,  54.13570,   5.23102,   1.92934,  89.84340,   4.81217,-103.13400, -67.56030,  13.05810,   0.35961,  37.03620,  -1.19778, -91.58520,  26.70800,   4.68785,  13.37800,-177.58400,   6.76593, -16.01600,  -0.06187,   0.09318,  34.86510,  -6.62755, -27.94150, -62.97930,  -1.67429,  -2.57793, -24.44000,-170.46400,   3.22165, 171.17900,   0.11296,  -0.26569,  19.51010,   5.70356, -10.26410, -63.64680,  -0.15268,   0.11277, -16.57170
   0.53333,   0.00000,   0.00000,  -0.00000,  86.53650, -54.89370,  -5.36734,-177.68400,  84.66850, 177.97000,  -8.30746,  10.58340,   1.34497,  -4.43834,  13.86300,  -2.66984,  11.99920,  10.21200,  -2.24399, -91.17560,   3.62127, -87.00070, -39.02860, -46.65750,  28.41470,  18.75220,  30.12070, -34.07940,  54.17940,   5.23421,   1.84667,  89.84950,   4.69842,-103.16300, -66.83790,  14.98980,   0.09765,  38.28060,  -4.04750, -95.11020,  25.65370,   4.69043,  13.32920,-177.84400,   6.64638, -16.24290,  -0.06123,   0.09294,  34.31310,  -6.38361, -27.95340, -62.64630,  -1.65454,  -2.54978, -24.25180,-170.75900,   3.13700, 170.85700,   0.10953,  -0.26334,  19.13860,   5.70197, -10.21390, -63.33930,  -0.15186,   0.11222, -16.57150
   0.56667,   0.00000,   0.00000,  -0.00000,  86.92840, -54.94840,  -5.41593,-177.29400,  84.63920, 177.62900,  -8.38917,  10.63060,   1.45554,  -4.63596,  14.35980,  -3.03195,  12.00210,  10.68340,  -3.06746, -91.18010,   3.64122, -87.02860, -38.77230, -46.74740,  28.50870,  18.70480,  30.05620, -34.05880,  53.12690,   5.22121,   2.18387,  89.85990,   4.57895,-103.24500, -66.10660,  16.77020,  -0.28921,  38.33780,  -6.63994, -98.31870,  25.10340,   4.70689,  13.03240,-178.05200,   6.50268, -16.42040,  -0.05800,   0.08996,  33.76460,  -6.33255, -27.84400, -62.35670,  -1.56795,  -2.46511, -24.38710,-171.01500,   2.90011, 170.53000,   0.10791,  -0.26438,  18.85510,   5.67585, -10.35170, -63.07030,  -0.15505,   0.11461, -16.57150
   0.60000,   0.00000,   0.00000,  -0.00000,  87.34230, -54.95200,  -5.41220,-177.04700,  84.62050, 177.42200,  -8.44193,  10.65980,   1.54162,  -4.80548,  14.82420,  -3.38979,  11.91920,  11.08380,  -3.82590, -91.17230,   3.62911, -87.08480, -38.60460, -46.76330,  28.52990,  18.55760,  30.03760, -33.84830,  52.36590,   5.21578,   2.32052,  89.86480,   4.50908,-103.28100, -65.31100,  18.23800,  -0.78232,  38.56900,  -9.06002,-101.17000,  24.12130,   4.74617,  12.31840,-178.28400,   6.40230, -16.56880,  -0.05571,   0.08826,  33.21600,  -6.18672, -27.78010, -62.03300,  -1.53375,  -2.42310, -24.46370,-171.29600,   3.02888, 170.22900,   0.10386,  -0.25750,  18.59500,   5.68331, -10.15640, -62.85350,  -0.15164,   0.11209, -16.57150
   0.63333,   0.00000,   0.00000,  -0.00000,  87.72960, -54.91540,  -5.41480,-176.90600,  84.62080, 177.32000,  -8.47238,  10.65170,   1.62288,  -5.00223,  15.26110,  -3.70741,  11.86320,  11.48450,  -4.56395, -91.14280,   3.55383, -87.16220, -38.60130, -46.66380,  28.48920,  18.28430,  29.99060, -33.46520,  52.04650,   5.21348,   2.37937,  89.87560,   4.43215,-103.39000, -64.53550,  19.65130,  -1.32905,  38.90060, -11.39670,-103.76000,  23.67050,   4.75969,  12.06990,-178.49800,   6.25445, -16.61230,  -0.04079,   0.08517,  32.57560,  -6.11271, -27.60110, -61.69980,  -1.45028,  -2.33441, -24.55370,-171.56200,   2.84542, 169.98700,   0.09913,  -0.25011,  18.24810,   5.64633, -10.31070, -62.56390,  -0.15497,   0.11451, -16.57160
   0.66667,   0.00000,   0.00000,  -0.00000,  88.10740, -54.87040,  -5.40554,-176.84400,  84.60890, 177.30100,  -8.48974,  10.66870,   1.71130,  -5.15564,  15.66480,  -4.00899,  11.72250,  11.85130,  -5.24407, -91.12610,   3.51906, -87.24270, -38.50050, -46.65250,  28.59040,  18.24110,  29.98760, -33.40100,  51.16830,   5.20807,   2.51612,  89.88340,   4.32046,-103.45200, -63.83510,  20.69680,  -1.79178,  38.08490, -13.34440,-106.41100,  22.99360,   4.82005,  10.93270,-178.69000,   6.13851, -16.81930,  -0.04734,   0.08264,  32.13060,  -5.99926, -27.44540, -61.35300,  -1.38052,  -2.25683, -24.65470,-171.81800,   2.67553, 169.76700,   0.09583,  -0.24672,  17.91190,   5.61717, -10.45020, -62.28920,  -0.15156,   0.11193, -16.57150
   0.70000,   0.00000,   0.00000,  -0.00000,  88.50640, -54.80110,  -5.41033,-176.77700,  84.61100, 177.25000,  -8.50376,  10.66100,   1.74619,  -5.36877,  16.01870,  -4.20417,  11.58460,  12.21680,  -5.87034, -91.09310,   3.42475, -87.28650, -38.57370, -46.59220,  28.51660,  18.05010,  30.01200, -33.08560,  50.88730,   5.21082,   2.44692,  89.89160,   4.17138,-103.50900, -63.16760,  21.62220,  -2.42034,  38.04760, -15.15320,-108.46900,  22.04830,   4.88588,   9.65688,-178.90700,   6.08561, -17.01600,  -0.04446,   0.08057,  31.65180,  -5.89798, -27.31960, -60.95910,  -1.29554,  -2.17508, -24.71440,-172.08300,   2.62448, 169.52200,   0.09134,  -0.23988,  17.53570,   5.59756, -10.54120, -61.99350,  -0.15339,   0.11317, -16.57160
   0.73333,   0.00000,   0.00000,  -0.00000,  88.84150, -54.71940,  -5.43768,-176.96700,  84.62920, 177.45300,  -8.46606,  10.62560,   1.76518,  -5.58248,  16.39500,  -4.39987,  11.35940,  12.54810,  -6.37724, -91.04930,   3.30995, -87.40060, -38.64060, -46.54380,  28.51410,  17.83710,  29.98670, -32.77400,  50.98810,   5.20823,   2.51186,  89.90590,   4.12376,-103.69100, -62.37070,  22.51370,  -3.02033,  38.34620, -17.13070,-110.42300,  21.17610,   4.89971,   9.38307,-179.05400,   6.12391, -17.20650,  -0.04357,   0.07767,  31.20240,  -5.91910, -27.27240, -60.60220,  -1.19100,  -2.07108, -24.99370,-172.29800,   2.45123, 169.27900,   0.08826,  -0.23616,  17.22340,   5.57590, -10.75310, -61.72250,  -0.15456,   0.11393, -16.57140
   0.76667,   0.00000,   0.00000,  -0.00000,  89.14630, -54.63260,  -5.41887,-177.49600,  84.64220, 178.00400,  -8.36631,  10.60240,   1.79915,  -5.80435,  16.74640,  -4.56143,  11.12820,  12.89560,  -6.85211, -90.99970,   3.16509, -87.46180, -38.82280, -46.52430,  28.49810,  17.77030,  29.90880, -32.73120,  50.54400,   5.20315,   2.63988,  89.92020,   3.94248,-103.83900, -61.68110,  23.29650,  -3.65555,  37.47580, -18.35810,-112.33400,  21.44890,   4.95029,   8.35917,-179.18300,   6.23473, -17.36390,  -0.03904,   0.07489,  30.85370,  -5.98810, -27.20310, -60.25610,  -1.06416,  -1.94767, -25.17030,-172.49300,   2.38071, 169.11900,   0.08453,  -0.23038,  16.88960,   5.57184, -10.88790, -61.45110,  -0.14959,   0.11011, -16.57150
   0.80000,   0.00000,   0.00000,  -0.00000,  89.42600, -54.53930,  -5.42227,-178.08800,  84.64990, 178.61800,  -8.25557,  10.58990,   1.83050,  -5.99903,  17.09270,  -4.70309,  10.86470,  13.25430,  -7.33536, -90.95260,   3.03769, -87.57900, -39.00910, -46.42340,  28.46050,  17.71050,  30.07310, -32.50840,  50.57420,   5.21311,   2.38888,  89.93210,   3.72523,-103.95500, -61.02580,  23.82670,  -4.32086,  37.33890, -19.74190,-113.88200,  20.52000,   5.00303,   7.25197,-179.29800,   6.24304, -17.63660,  -0.04112,   0.07271,  30.63720,  -6.01415, -27.16480, -59.87980,  -0.97369,  -1.86056, -25.28780,-172.67100,   2.42377, 168.93700,   0.08006,  -0.22158,  16.57980,   5.58510, -10.89450, -61.19370,  -0.15368,   0.11303, -16.57160
   0.83333,   0.00000,   0.00000,  -0.00000,  89.68460, -54.47190,  -5.39168,-178.97200,  84.65930, 179.52000,  -8.08986,  10.57460,   1.85146,  -6.13474,  17.38820,  -4.78949,  10.53350,  13.67620,  -7.87627, -90.89320,   2.86496, -87.67600, -39.28870, -46.29710,  28.35980,  17.48770,  30.05660, -32.17180,  50.63100,   5.21228,   2.40974,  89.94390,   3.58687,-104.10300, -60.26130,  24.43030,  -5.01240,  38.35370, -21.57340,-114.92300,  19.82560,   5.03060,   6.66244,-179.41200,   6.23789, -17.83500,  -0.04034,   0.07179,  30.42850,  -5.93662, -27.10450, -59.49670,  -0.94407,  -1.84132, -25.45250,-172.82600,   2.22978, 168.78800,   0.07827,  -0.22007,  16.33300,   5.58885, -11.12350, -60.95810,  -0.14692,   0.10794, -16.57160
   0.86667,   0.00000,   0.00000,  -0.00000,  89.86050, -54.36440,  -5.42470,-179.92500,  84.66780,-179.50100,  -7.91195,  10.55830,   1.88404,  -6.27991,  17.73120,  -4.89799,  10.21000,  14.04780,  -8.26148, -90.82290,   2.65908, -87.79770, -39.45670, -46.44710,  28.40640,  17.47290,  30.14170, -32.08240,  50.07760,   5.20811,   2.51502,  89.95460,   3.42668,-104.24100, -59.61380,  24.93630,  -5.65191,  37.73850, -22.39240,-116.20600,  20.41580,   5.08735,   5.40171,-179.46500,   6.26744, -18.04970,  -0.03979,   0.07159,  30.27150,  -5.84015, -27.05330, -59.18750,  -0.94446,  -1.83904, -25.41210,-172.89400,   2.38192, 168.67800,   0.07503,  -0.21506,  16.01010,   5.65165, -11.08300, -60.71690,  -0.14843,   0.10887, -16.57160
   0.90000,   0.00000,   0.00000,  -0.00000,  90.00760, -54.25230,  -5.46059, 179.13200,  84.68610,-178.52700,  -7.73722,  10.51840,   1.92813,  -6.38682,  18.02920,  -4.95775,   9.95453,  14.45200,  -8.68495, -90.78410,   2.54509, -87.87000, -39.61010, -46.27920,  28.39520,  17.41490,  30.23270, -31.92090,  50.09830,   5.21013,   2.46349,  89.96490,   3.29684,-104.38900, -58.98970,  25.10870,  -6.30219,  37.22920, -23.14970,-117.35600,  19.48460,   5.14996,   3.93900,-179.49300,   6.33774, -18.24870,  -0.03813,   0.07211,  30.13790,  -5.71103, -27.02580, -58.90000,  -0.97331,  -1.87857, -25.43280,-172.94600,   2.46708, 168.53000,   0.07333,  -0.21285,  15.80910,   5.70718, -11.05540, -60.53310,  -0.15967,   0.11705, -16.57160
   0.93333,   0.00000,   0.00000,  -0.00000,  90.16300, -54.17170,  -5.47877, 178.11700,  84.67800,-177.49700,  -7.54771,  10.53040,   1.94137,  -6.51274,  18.32800,  -5.02322,   9.72633,  14.81170,  -9.08894, -90.74200,   2.42186, -87.95990, -39.67800, -46.20280,  28.40400,  17.26350,  30.16010, -31.73850,  50.08020,   5.21266,   2.39963,  89.97030,   3.21585,-104.47100, -58.33740,  25.23800,  -6.98852,  37.41930, -24.27360,-118.24900,  18.13030,   5.20205,   2.67114,-179.53800,   6.43783, -18.42530,  -0.04050,   0.07247,  29.98930,  -5.63998, -27.08170, -58.71120,  -0.98245,  -1.87709, -25.26410,-173.00000,   2.49209, 168.43800,   0.07177,  -0.21256,  15.53390,   5.76785, -11.09090, -60.31390,  -0.15823,   0.11587, -16.57150
   0.96667,   0.00000,   0.00000,  -0.00000,  90.24620, -54.06720,  -5.55808, 177.09000,  84.67120,-176.44900,  -7.35639,  10.53550,   1.96590,  -6.65041,  18.58290,  -5.07933,   9.52201,  15.15870,  -9.43461, -90.70180,   2.30011, -88.02800, -39.68190, -46.24040,  28.44870,  17.28710,  30.21920, -31.73020,  49.77910,   5.20507,   2.59205,  89.97590,   3.09598,-104.55400, -57.78850,  25.33390,  -7.69889,  36.35760, -24.49400,-119.38900,  17.44450,   5.26303,   1.07529,-179.52000,   6.57376, -18.60850,  -0.04153,   0.07351,  29.86410,  -5.53571, -27.15490, -58.53330,  -1.02746,  -1.92329, -25.22810,-172.98100,   2.73972, 168.29800,   0.07030,  -0.21071,  15.34980,   5.86060, -10.90650, -60.16430,  -0.15351,   0.11232, -16.57140
   1.00000,   0.00000,   0.00000,  -0.00000,  90.33370, -53.95300,  -5.61796, 175.98800,  84.65920,-175.32000,  -7.15023,  10.54610,   2.00023,  -6.78938,  18.82950,  -5.16722,   9.34289,  15.45530,  -9.73194, -90.67330,   2.21942, -88.11920, -39.59520, -46.36500,  28.57460,  17.35860,  30.38400, -31.71660,  49.64280,   5.20629,   2.56074,  89.98400,   2.97816,-104.69100, -57.26690,  25.21310,  -8.37902,  35.37120, -24.74070,-120.52000,  15.75890,   5.31610,  -0.39576,-179.51000,   6.67165, -18.76510,  -0.04172,   0.07481,  29.73700,  -5.38253, -27.16000, -58.37480,  -1.08776,  -1.98097, -25.07940,-172.96600,   2.91833, 168.17300,   0.06892,  -0.20943,  15.15810,   5.94254, -10.83040, -60.00070,  -0.15976,   0.11673, -16.57160
   1.03333,   0.00000,   0.00000,  -0.00000,  90.43190, -53.86600,  -5.70816, 175.00300,  84.64010,-174.33300,  -6.96260,  10.57170,   1.99037,  -6.99585,  19.07440,  -5.10407,   9.20492,  15.70250, -10.13470, -90.65200,   2.15916, -88.19330, -39.41440, -46.47150,  28.72390,  17.40280,  30.43470, -31.74730,  49.46060,   5.19927,   2.73811,  89.99260,   2.89388,-104.85400, -56.78460,  25.18650,  -9.13130,  35.41880, -25.51780,-121.20500,  13.83600,   5.35003,  -1.38591,-179.51200,   6.68301, -18.97470,  -0.04175,   0.07682,  29.62240,  -5.14131, -27.12460, -58.18870,  -1.18412,  -2.07275, -24.84960,-172.95400,   3.03310, 168.01300,   0.06815,  -0.21050,  14.95780,   6.02932, -10.77720, -59.82460,  -0.15834,   0.11557, -16.57150
