time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  83.81600, -24.46570,   3.75664, 106.96300,  82.51140,-105.73300,   6.52846,   4.34299,   2.21093,  -5.87149,  -0.01375,   3.84269,   1.78750,  -1.39827,   3.80070, -90.32080,   2.09193, -96.28090, -76.41780,  -6.86721,   0.28666,   3.08233,  12.90570, -13.55490,   4.86757,   5.12338,   4.57243,  89.76160,   4.44569,-101.92700, -69.69710,   2.55013,   6.79917,   8.09310,  19.80680, -22.76790,  10.65620,   5.36987,  -1.98200,-170.67900, -10.25180, -11.45730,   0.02823,  -0.04053,  34.24240,  -1.61203,  -5.33148, -66.01770,   0.11727,  -0.13301, -17.86970,-168.56300,   8.95026, 174.82100,   0.16496,  -0.31347,  23.72360,   6.24913,  -5.71429, -63.52420,   0.00272,  -0.00280, -16.59550
   0.03333,   0.00000,   0.00000,  -0.00000,  83.79760, -25.64280,   3.71926, 107.72100,  82.58150,-106.50600,   6.33534,   4.48767,   2.17994,  -5.51195,   0.14398,   3.89864,   2.13098,  -1.25668,   3.89949, -90.31200,   1.98293, -96.05850, -76.40790,  -6.25149,   0.53451,   3.00734,  12.64690, -13.49310,   4.29914,   5.12585,   4.51454,  89.75900,   4.44406,-101.89400, -69.44440,   2.97105,   6.36899,   8.67339,  19.50750, -24.55480,  10.88280,   5.37487,  -2.13741,-170.16300,  -7.93047, -11.34600,   0.00401,   0.00374,  33.39070,  -3.78321,  -4.66530, -65.49500,   0.10518,  -0.11902, -17.73500,-168.34600,   7.90593, 175.05700,   0.16320,  -0.31531,  23.43020,   6.44793,  -5.65570, -63.28950,   0.00500,  -0.00517, -16.61390
   0.06667,   0.00000,   0.00000,  -0.00000,  83.88900, -26.54490,   3.61863, 108.31700,  82.72960,-107.16200,   6.00791,   4.53989,   2.07093,  -5.23980,   0.20003,   3.96920,   2.78406,  -1.28606,   4.19396, -90.33610,   2.08471, -95.84030, -76.21090,  -6.02647,   0.82841,   2.99011,  12.36180, -13.71150,   3.51329,   5.13128,   4.38736,  89.75060,   4.56690,-101.87000, -69.21380,   3.59632,   6.15643,   9.24812,  19.21280, -26.32880,  11.23030,   5.38721,  -2.52641,-170.25200,  -7.40699, -11.07840,  -0.01076,   0.02830,  33.21300,  -4.12729,  -5.48393, -65.66960,   0.12113,  -0.13747, -17.91270,-168.35700,   7.31020, 175.11800,   0.16412,  -0.31938,  23.33210,   6.55845,  -5.40969, -63.24560,   0.00604,  -0.00625, -16.62230
   0.10000,   0.00000,   0.00000,  -0.00000,  84.11810, -26.95440,   3.61684, 108.32300,  82.87800,-107.29400,   5.73013,   4.44852,   1.83376,  -5.09380,   0.00459,   4.05189,   3.47866,  -1.47245,   4.70105, -90.36270,   2.23407, -95.78030, -75.93360,  -6.26451,   0.96095,   3.04509,  12.26510, -14.05860,   3.37353,   5.12959,   4.42726,  89.73660,   4.68674,-101.78100, -69.21980,   3.98670,   6.01136,   9.76495,  19.04000, -27.81630,  11.80410,   5.39951,  -2.92063,-170.48700,  -7.47877, -10.85720,   0.00298,   0.00779,  32.80220,  -4.27857,  -6.10102, -65.54720,   0.09971,  -0.11270, -17.67400,-168.53200,   6.93598, 175.22800,   0.16133,  -0.31790,  23.08560,   6.58202,  -5.37637, -63.13470,   0.00623,  -0.00645, -16.62380
   0.13333,   0.00000,   0.00000,  -0.00000,  84.39380, -26.83660,   3.54610, 107.87100,  83.04130,-107.01000,   5.46017,   4.24373,   1.51901,  -5.00569,  -0.40743,   4.17908,   3.94606,  -1.81152,   5.15019, -90.34860,   2.16963, -95.86990, -75.79780,  -6.31094,   0.69521,   3.07323,  12.13060, -14.33220,   3.75827,   5.13510,   4.29775,  89.73130,   4.64606,-101.68600, -69.62710,   4.09856,   5.85124,  10.11880,  18.88870, -28.86970,  12.32290,   5.40681,  -3.15990,-170.68700,  -8.00204, -10.84460,   0.02000,  -0.01918,  32.35860,  -4.12432,  -5.57585, -65.27210,   0.09219,  -0.10406, -17.59070,-168.68800,   6.72090, 175.17000,   0.15861,  -0.31704,  22.81210,   6.57183,  -5.67777, -62.99240,   0.01399,  -0.01450, -16.68600
   0.16667,   0.00000,   0.00000,  -0.00000,  84.59280, -26.38030,   3.68020, 107.30000,  83.10330,-106.56800,   5.38842,   4.07722,   1.27066,  -4.89051,  -0.81024,   4.29072,   4.03127,  -2.26388,   5.42111, -90.29830,   1.89311, -96.04430, -75.87480,  -5.94072,   0.01667,   3.12941,  12.13360, -14.57980,   4.17853,   5.13081,   4.39863,  89.73240,   4.50013,-101.59400, -70.20670,   4.15115,   5.86277,  10.26340,  18.50130, -29.71210,  12.27960,   5.41095,  -3.29648,-170.76500,  -8.60134, -10.76120,   0.02933,  -0.03448,  32.13460,  -3.87101,  -4.64471, -65.06810,   0.07252,  -0.08154, -17.37270,-168.82900,   6.90325, 175.24300,   0.15802,  -0.31747,  22.72090,   6.55281,  -5.92124, -62.99210,   0.01298,  -0.01345, -16.67800
   0.20000,   0.00000,   0.00000,  -0.00000,  84.75220, -25.81440,   4.06847, 106.77300,  83.05100,-106.13600,   5.52938,   3.98893,   1.08049,  -4.81261,  -1.17520,   4.31214,   3.96053,  -2.72352,   5.65225, -90.27070,   1.74973, -96.20450, -75.86550,  -5.59035,  -0.83415,   3.14278,  11.87360, -14.94160,   4.17404,   5.13043,   4.40744,  89.73320,   4.51616,-101.61500, -70.53310,   4.68999,   5.94414,  10.26040,  18.20500, -30.09080,  12.07780,   5.41187,  -3.32676,-170.69900,  -9.61966, -10.44020,   0.03888,  -0.04900,  32.09220,  -3.48542,  -3.12415, -64.98400,   0.06277,  -0.07046, -17.26520,-168.97000,   7.01500, 175.52900,   0.16008,  -0.32009,  22.83150,   6.45184,  -6.39199, -63.13360,   0.00846,  -0.00876, -16.64160
   0.23333,   0.00000,   0.00000,  -0.00000,  84.78090, -25.14520,   4.45984, 106.40500,  82.97530,-105.78900,   5.70112,   3.94703,   1.03444,  -4.69540,  -1.44516,   4.27811,   3.79514,  -3.14145,   5.80908, -90.26280,   1.72090, -96.31460, -75.85060,  -5.18880,  -1.73323,   3.25806,  11.82800, -15.52060,   4.07064,   5.13237,   4.36194,  89.73380,   4.66177,-101.72700, -70.62890,   5.71936,   6.08437,  10.18060,  18.15160, -29.96330,  11.91380,   5.41822,  -3.53885,-170.51800, -10.66730, -10.18530,   0.04714,  -0.06081,  32.30350,  -3.05833,  -1.52666, -65.04470,   0.06151,  -0.06899, -17.25100,-169.01100,   7.25705, 175.82400,   0.16306,  -0.32222,  23.07100,   6.33217,  -6.88124, -63.37540,   0.01562,  -0.01620, -16.69930
   0.26667,   0.00000,   0.00000,  -0.00000,  84.73580, -24.38810,   4.81892, 106.10000,  82.91810,-105.46200,   5.83142,   3.90710,   1.07659,  -4.56324,  -1.64048,   4.27850,   3.70123,  -3.46154,   5.92891, -90.25570,   1.69156, -96.40730, -75.93940,  -4.99490,  -2.50920,   3.44319,  11.82210, -16.36650,   4.17189,   5.13843,   4.21891,  89.74050,   4.77568,-101.88700, -70.70190,   7.10480,   6.10000,   9.88628,  18.23810, -29.11470,  11.69410,   5.41874,  -3.55677,-170.36100, -10.60750,  -9.99250,   0.04849,  -0.06175,  32.60250,  -2.89430,  -0.76506, -65.22260,   0.04361,  -0.04875, -17.05420,-169.02300,   7.80636, 176.11900,   0.16512,  -0.32188,  23.32360,   6.23738,  -7.19900, -63.67000,   0.01554,  -0.01611, -16.69840
   0.30000,   0.00000,   0.00000,  -0.00000,  84.69720, -23.50700,   5.15837, 105.88800,  82.87420,-105.23000,   5.92967,   3.88080,   1.11487,  -4.44444,  -1.85711,   4.32636,   3.72611,  -3.79111,   6.11940, -90.24260,   1.62834, -96.52540, -76.14050,  -5.05844,  -3.19651,   3.61407,  11.63360, -17.39130,   4.37598,   5.13774,   4.23489,  89.74510,   4.91724,-102.02800, -70.80160,   8.19296,   6.01409,   9.45884,  18.53520, -27.66150,  11.30990,   5.41879,  -3.55840,-170.37000,  -9.45539,  -9.87923,   0.04459,  -0.05464,  32.90590,  -2.98293,  -0.97449, -65.44480,   0.03670,  -0.04097, -16.97830,-169.05000,   8.30457, 176.38200,   0.16456,  -0.31527,  23.59170,   6.08960,  -7.64980, -63.97800,   0.00912,  -0.00945, -16.64690
   0.33333,   0.00000,   0.00000,  -0.00000,  84.77130, -22.55060,   5.53629, 105.94200,  82.84950,-105.31800,   5.97478,   3.90769,   1.04128,  -4.27769,  -2.12218,   4.44582,   3.86043,  -4.12046,   6.47494, -90.20910,   1.42856, -96.67180, -76.39390,  -4.83056,  -3.82025,   3.74424,  11.36560, -18.37020,   4.70362,   5.14293,   4.11219,  89.74950,   5.15336,-102.21400, -70.95120,   8.74037,   5.92333,   8.77714,  18.78720, -25.61710,  10.87000,   5.41297,  -3.36325,-170.54600,  -8.11111,  -9.68046,   0.03805,  -0.04412,  33.02360,  -3.08383,  -1.33246, -65.59760,   0.03288,  -0.03668, -16.93660,-169.14600,   8.48695, 176.68200,   0.16381,  -0.31031,  23.75750,   5.85947,  -8.45002, -64.20550,   0.00970,  -0.01006, -16.65170
   0.36667,   0.00000,   0.00000,  -0.00000,  84.84290, -21.59890,   5.91728, 106.28300,  82.83840,-105.69000,   5.97341,   3.99609,   0.97620,  -4.12379,  -2.35622,   4.59411,   4.13481,  -4.47983,   6.78462, -90.17040,   1.18310, -96.80710, -76.59930,  -4.23634,  -4.33053,   3.90683,  11.25690, -19.28220,   4.79046,   5.14896,   3.96818,  89.76560,   5.26931,-102.44900, -71.28220,   8.73752,   5.71109,   7.86899,  19.01580, -22.98870,  10.57750,   5.40905,  -3.23323,-170.68500,  -7.14416,  -9.44853,   0.03456,  -0.03823,  33.13630,  -3.08292,  -1.33795, -65.74420,   0.03020,  -0.03368, -16.90710,-169.28400,   8.88546, 177.02500,   0.16229,  -0.30402,  23.90560,   5.65490,  -9.05111, -64.47250,   0.01253,  -0.01300, -16.67440
   0.40000,   0.00000,   0.00000,  -0.00000,  84.87940, -20.75410,   6.17122, 107.07600,  82.87760,-106.50600,   5.84236,   4.16247,   0.92491,  -3.88812,  -2.54669,   4.70318,   4.39656,  -4.82092,   7.16311, -90.13490,   0.94155, -96.85200, -76.76510,  -3.66896,  -4.67075,   4.01056,  11.08820, -20.02950,   4.76849,   5.15464,   3.83260,  89.79090,   5.29155,-102.73400, -71.72210,   8.56749,   5.30793,   6.83267,  19.31040, -19.92040,  10.39540,   5.39816,  -2.87729,-170.74100,  -6.73175,  -9.29713,   0.03468,  -0.03791,  33.25760,  -2.94606,  -0.87173, -65.88430,   0.03601,  -0.04020, -16.97080,-169.40900,   9.37771, 177.27100,   0.16061,  -0.29780,  24.03280,   5.48954,  -9.42360, -64.73010,   0.01066,  -0.01105, -16.65940
   0.43333,   0.00000,   0.00000,  -0.00000,  84.91370, -19.95610,   6.37606, 107.95000,  82.94360,-107.40800,   5.65219,   4.32880,   0.86895,  -3.67741,  -2.70193,   4.81981,   4.71762,  -5.17659,   7.53901, -90.11370,   0.79094, -96.82470, -76.85380,  -3.45173,  -4.76476,   4.17978,  11.14820, -20.70520,   4.66110,   5.15266,   3.87966,  89.82270,   5.30912,-103.08500, -72.09380,   8.40618,   4.74721,   5.79403,  19.67420, -16.77580,   9.90928,   5.38389,  -2.42053,-170.79300,  -6.50657,  -9.17960,   0.03362,  -0.03606,  33.33700,  -2.78406,  -0.38739, -65.98150,   0.02217,  -0.02468, -16.81920,-169.54400,   9.86826, 177.49900,   0.15842,  -0.29157,  24.10690,   5.33002,  -9.73220, -64.95720,   0.01123,  -0.01163, -16.66380
