time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  83.43800, -48.72750,  -6.72911, 169.83100,  84.50530,-169.01800,  -5.96003,  10.70390,   2.19008,  -6.33996,  11.24420,  -0.52720,   1.95176,   7.52150,   0.65785, -90.88610,   2.91681, -88.09350, -51.73610, -41.45400,  24.16170,  11.80530,  25.37020, -26.00310,  65.09130,   5.41280,  -3.35770,  89.91250,   4.37781,-103.85300, -73.99840,  -6.13603,  -1.92872,   8.49243,  12.36010, -34.90140,  47.83570,   5.27041,   0.88663,-174.25500,  11.48900, -18.07990,  -0.07084,   0.07987,  41.27160, -10.68550, -29.33600, -63.85800,  -1.44667,  -2.58852, -25.48910,-168.16100,   0.54347, 174.22100,   0.10469,  -0.23980,  19.61800,   6.39251,  -7.72701, -66.04210,  -0.22313,   0.17465, -16.56890
   0.03333,   0.00000,   0.00000,  -0.00000,  84.07120, -49.00070,  -6.83789, 170.43800,  84.52790,-169.73100,  -6.07340,  10.69060,   1.98712,  -6.78312,  11.89820,  -0.87704,   1.63518,   8.30828,  -0.16779, -90.82460,   2.73315, -88.20520, -51.62030, -41.31410,  24.28370,  11.63540,  25.50560, -25.55730,  64.03280,   5.40561,  -3.11889,  89.94140,   4.09012,-104.17800, -74.50920,  -4.00531,  -2.32450,   9.28736,  12.15030, -37.84720,  47.17850,   5.26958,   0.90979,-174.62800,  11.20860, -18.18930,  -0.06373,   0.07527,  40.24770, -10.60880, -29.28470, -63.50540,  -1.36064,  -2.51135, -25.58330,-168.69800,   0.35031, 173.91600,   0.09714,  -0.23101,  18.90600,   6.39487,  -7.53582, -65.56910,  -0.21976,   0.17241, -16.56880
   0.06667,   0.00000,   0.00000,  -0.00000,  84.76750, -49.17690,  -6.99139, 171.37600,  84.55730,-170.80500,  -6.24840,  10.67530,   1.73065,  -7.19677,  12.49230,  -1.15185,   1.26820,   9.00219,  -0.87709, -90.76610,   2.56698, -88.37740, -51.38420, -41.23010,  24.42590,  11.34560,  25.24880, -25.19210,  62.43580,   5.39926,  -2.91411,  89.95310,   3.89532,-104.31000, -74.56520,  -1.14115,  -2.62137,  10.51150,  12.35240, -40.93840,  46.77720,   5.26397,   1.06048,-175.01500,  10.95160, -18.38140,  -0.05713,   0.07125,  39.15700, -10.44250, -29.23750, -63.10380,  -1.30072,  -2.45153, -25.63560,-169.26400,   0.31054, 173.53300,   0.08882,  -0.21995,  18.14260,   6.41375,  -7.26040, -65.08870,  -0.22181,   0.17430, -16.56870
   0.10000,   0.00000,   0.00000,  -0.00000,  85.50850, -49.31910,  -7.09814, 172.47700,  84.60130,-172.07400,  -6.45320,  10.63620,   1.41048,  -7.56200,  12.97460,  -1.42519,   0.88603,   9.66531,  -1.31054, -90.71710,   2.41519, -88.45850, -51.11390, -40.91660,  24.30300,  10.96900,  25.28600, -24.40670,  61.65310,   5.39923,  -2.91159,  89.96510,   3.75120,-104.46700, -74.43170,   1.91924,  -2.59949,  11.62770,  12.10890, -44.45100,  46.52870,   5.26701,   0.97866,-175.42900,  10.73550, -18.55830,  -0.05608,   0.06772,  38.06150, -10.22250, -29.15360, -62.74510,  -1.25471,  -2.38055, -25.48780,-169.85600,   0.22187, 173.15000,   0.08123,  -0.20959,  17.39310,   6.40191,  -7.09036, -64.60980,  -0.22509,   0.17707, -16.56860
   0.13333,   0.00000,   0.00000,  -0.00000,  86.17250, -49.41160,  -7.28345, 173.59400,  84.65650,-173.34400,  -6.66167,  10.56940,   1.11832,  -8.00154,  13.48790,  -1.65150,   0.67771,  10.28160,  -1.78840, -90.67480,   2.29873, -88.63420, -50.53430, -40.84410,  24.48110,  10.93760,  25.44700, -24.21600,  59.28200,   5.37642,  -2.16667,  89.98120,   3.55742,-104.69800, -74.45050,   4.14000,  -2.32240,  13.05860,  11.80700, -48.58320,  45.79110,   5.25635,   1.26667,-175.79500,  10.61710, -18.64480,  -0.04593,   0.06525,  36.79210,  -9.92631, -29.18510, -62.37170,  -1.21545,  -2.32410, -25.40030,-170.37600,   0.42544, 172.85100,   0.07231,  -0.19714,  16.42930,   6.45674,  -6.65211, -64.05850,  -0.22504,   0.17719, -16.56860
   0.16667,   0.00000,   0.00000,  -0.00000,  86.86720, -49.51520,  -7.40528, 174.53400,  84.70940,-174.44900,  -6.83182,  10.50190,   0.79913,  -8.43239,  13.92750,  -1.85685,   0.32629,  10.91640,  -2.18813, -90.60880,   2.09315, -88.78100, -49.89840, -41.00660,  24.76810,  10.88120,  25.30960, -24.21090,  56.18700,   5.36113,  -1.71677,  89.98850,   3.33027,-104.80200, -74.44090,   6.29690,  -2.05487,  14.24340,  11.06890, -52.90170,  44.94820,   5.24237,   1.63335,-176.17400,  10.54080, -18.74980,  -0.04392,   0.06106,  35.60290,  -9.81999, -29.21360, -62.04260,  -1.09695,  -2.19587, -25.43590,-170.91000,   0.57864, 172.53800,   0.06427,  -0.18390,  15.58530,   6.48059,  -6.30956, -63.56810,  -0.22136,   0.17435, -16.56860
   0.20000,   0.00000,   0.00000,  -0.00000,  87.48960, -49.60190,  -7.51642, 175.33300,  84.76180,-175.40200,  -6.97383,  10.42940,   0.49910,  -8.87353,  14.36740,  -2.04850,  -0.06016,  11.54080,  -2.55277, -90.55460,   1.92333, -88.91360, -49.43030, -40.80810,  24.71810,  10.58520,  25.38090, -23.55610,  55.46590,   5.36107,  -1.71193,  89.99280,   3.15239,-104.87000, -74.34880,   8.40235,  -1.68664,  14.98310,   9.82498, -57.47980,  44.14410,   5.23178,   1.91094,-176.51500,  10.54000, -18.82570,  -0.03939,   0.05715,  34.51470,  -9.73492, -29.24460, -61.73750,  -0.97546,  -2.06267, -25.37480,-171.39300,   0.79715, 172.29400,   0.05652,  -0.16946,  14.74880,   6.50163,  -5.91637, -63.09750,  -0.22476,   0.17716, -16.56840
   0.23333,   0.00000,   0.00000,  -0.00000,  88.06850, -49.73150,  -7.67378, 176.07500,  84.82700,-176.27300,  -7.10652,  10.32560,   0.24535,  -9.34595,  14.87450,  -2.19564,  -0.42416,  12.23150,  -3.06036, -90.52460,   1.83554, -89.04760, -48.68310, -40.86630,  25.01420,  10.54940,  25.43090, -23.44530,  53.92730,   5.34273,  -1.15132,  90.00140,   2.98630,-105.02700, -74.09960,  10.40360,  -1.34994,  17.00180,   9.18232, -62.43810,  42.93550,   5.21190,   2.42319,-176.88500,  10.47700, -18.71220,   0.01500,   0.05465,  33.24980,  -9.52381, -29.32840, -61.34670,  -0.92161,  -2.00612, -25.47430,-171.83600,   0.98759, 171.94600,   0.05121,  -0.15984,  14.07260,   6.51649,  -5.54277, -62.69440,  -0.22901,   0.18065, -16.56820
   0.26667,   0.00000,   0.00000,  -0.00000,  88.60330, -49.89320,  -7.78801, 176.71500,  84.86470,-177.04000,  -7.21535,  10.27380,  -0.00256,  -9.77211,  15.32780,  -2.32985,  -0.86159,  12.88260,  -3.42780, -90.48720,   1.72049, -89.18790, -47.89400, -41.05900,  25.37540,  10.48990,  25.23480, -23.47530,  52.06270,   5.33350,  -0.88895,  90.00300,   2.94260,-105.05700, -73.52710,  12.62490,  -1.04009,  18.85310,   8.11354, -67.54360,  41.32890,   5.18423,   3.11591,-177.17200,  10.38920, -18.93030,  -0.01393,   0.05242,  32.42390,  -9.30287, -29.39580, -60.99620,  -0.86390,  -1.93572, -25.43270,-172.26200,   0.94979, 171.73300,   0.04586,  -0.15081,  13.31300,   6.50745,  -5.33775, -62.23980,  -0.22224,   0.17550, -16.56830
   0.30000,   0.00000,   0.00000,  -0.00000,  89.08490, -50.09750,  -7.97927, 177.63400,  84.87570,-178.08800,  -7.37062,  10.27660,  -0.24865, -10.23500,  15.76520,  -2.45560,  -1.22829,  13.50560,  -3.70350, -90.44350,   1.57648, -89.28560, -47.40540, -40.89580,  25.34520,  10.30680,  25.34980, -23.01320,  51.76510,   5.33751,  -1.00583,  90.00970,   2.97449,-105.18600, -72.93870,  14.56720,  -0.51003,  19.68590,   6.29358, -72.96580,  39.57980,   5.15656,   3.78807,-177.40600,  10.39560, -19.14360,  -0.03061,   0.04885,  31.55820,  -9.18077, -29.47480, -60.61270,  -0.75706,  -1.84357, -25.58760,-172.66100,   0.78413, 171.50300,   0.04112,  -0.14337,  12.51510,   6.48728,  -5.21691, -61.75270,  -0.21930,   0.17342, -16.56830
   0.33333,   0.00000,   0.00000,  -0.00000,  89.55630, -50.30670,  -8.14734, 178.47500,  84.88080,-179.03500,  -7.51326,  10.28510,  -0.44729, -10.66620,  16.21930,  -2.57339,  -1.59454,  14.14500,  -4.12644, -90.43030,   1.53817, -89.36970, -46.71070, -40.94050,  25.56740,  10.24500,  25.17230, -23.02170,  50.61400,   5.32846,  -0.73923,  90.01190,   2.85353,-105.23900, -72.44790,  16.32290,  -0.13601,  21.11830,   4.59759, -78.27350,  37.36790,   5.15619,   3.79740,-177.68400,  10.48320, -19.22170,  -0.02615,   0.04649,  30.61430,  -9.06932, -29.70630, -60.31550,  -0.66751,  -1.74100, -25.55270,-173.06500,   0.76516, 171.28600,   0.03611,  -0.13280,  11.75400,   6.45911,  -4.96265, -61.30410,  -0.22616,   0.17916, -16.56810
   0.36667,   0.00000,   0.00000,  -0.00000,  90.02620, -50.46610,  -8.29931, 179.36700,  84.90010, 179.95900,  -7.66397,  10.26460,  -0.66456, -11.13200,  16.63340,  -2.65630,  -1.92389,  14.76920,  -4.42924, -90.41070,   1.47764, -89.46520, -45.96010, -40.98400,  25.81480,  10.34780,  25.37180, -23.08020,  48.94710,   5.31222,  -0.27373,  90.01130,   2.76271,-105.23400, -71.82090,  18.05140,   0.09845,  22.49520,   2.66721, -83.58880,  34.59500,   5.13679,   4.25898,-177.96600,  10.54300, -19.31510,  -0.02489,   0.04471,  29.70600,  -8.87901, -29.90400, -59.93800,  -0.60596,  -1.67948, -25.66070,-173.47600,   0.48541, 171.06100,   0.03248,  -0.12657,  11.04720,   6.39321,  -5.05027, -60.85640,  -0.22922,   0.18173, -16.56790
   0.40000,   0.00000,   0.00000,  -0.00000,  90.47310, -50.61620,  -8.42878,-179.86500,  84.92070, 179.08700,  -7.79247,  10.23780,  -0.86175, -11.58410,  17.05090,  -2.75400,  -2.23091,  15.31460,  -4.72977, -90.39970,   1.44619, -89.55130, -45.32530, -40.83980,  25.88070,  10.12120,  25.30110, -22.66950,  48.16870,   5.31143,  -0.25003,  90.01340,   2.72231,-105.28200, -71.08620,  19.48980,   0.19342,  22.32450,   0.56350, -88.62950,  31.63920,   5.15833,   3.73761,-178.24300,  10.52460, -19.36350,  -0.02193,   0.04209,  28.81220,  -8.69325, -29.96120, -59.56850,  -0.51556,  -1.59350, -25.72730,-173.88100,   0.30074, 170.91200,   0.02853,  -0.11830,  10.29240,   6.32902,  -5.02899, -60.40880,  -0.22249,   0.17655, -16.56810
